"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"FUCCAT-PWY"	386.515172101312	355.744179556118	956.552079770252	535.628079485206	516.973395002071	897.975957518527	755.997412285522	811.627387300509	523.631018307603	293.341314272759	253.439413085514	355.937621274175	725.01874518831	358.676934027835	767.857930073986	417.589361646801	577.811284901176	1028.59773122423	723.674812170265	547.917612812599	457.901801388839	3173.7145738292	303.588766613575	745.860978742494	576.575024839914	359.138306503096	704.376587632542	1557.16231500461	5414.46104942123	522.307151884158	947.972546190082	540.236724077955	412.122960149679
"GALACT-GLUCUROCAT-PWY"	6849.19476240202	2076.47329030049	5183.63290143205	3336.56742994313	3219.00341601766	4289.80900688748	4377.53146213441	2485.60405648209	7596.45298541816	3501.34806610022	1622.24380275403	2802.80223309183	2687.44126738396	3282.50414581113	2494.64183266169	3239.09245852508	3277.72626686497	4151.01799900132	3458.79182633106	3034.6453871955	3582.87114717923	8797.00885097076	2308.13843864942	2178.45509216518	2922.28787753166	3462.54839440087	3316.40664827668	5534.51808974972	7705.58658481714	3011.45303440016	2608.82573854464	3648.37226940588	3698.73761292178
"GALACTARDEG-PWY"	7.68390839801535	10.8085659155317	130.697421167799	43.4396441236345	20.6446996638377	79.5628328486665	50.2090866139018	53.5407646603954	0	0	19.3476722025592	36.084170463179	59.4834252493193	4.40146829847643	32.207967677142	27.1732086296887	0	80.9075768252256	81.5757737277344	52.1570306538735	66.0770680595525	379.132512995096	0	65.4685250953781	1.98788307162279	0	43.9859759220831	99.310205039178	492.261294417007	101.450695518587	67.5065583472999	75.1966230206394	60.3430792905159
"GALACTUROCAT-PWY"	9325.77849071107	2488.75537318157	6613.8690280224	4820.23996938142	4091.08859902567	5043.4993669324	5017.65810399231	2821.89625328209	8343.62076136227	3645.66970023357	1750.17584128141	3161.30142819403	3147.30924861287	4042.57021995137	3308.85126686389	3810.77933685183	4366.85642492542	5380.04881285656	4470.46139248532	3755.02140837225	3883.45594877736	12265.9527423794	2509.1375240973	3024.52934232024	3470.18416344248	3750.83106374778	4437.46220144656	7495.94915009892	9290.25778847949	3617.99177411208	3730.25055832719	4586.95652125766	4672.36884547564
"GALLATE-DEGRADATION-I-PWY"	4.94545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GALLATE-DEGRADATION-II-PWY"	4.94545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY"	9205.12465012004	7254.20546091141	10205.2205876658	10251.8086530558	9857.34819638063	15237.6709328543	6910.9703289923	7149.90861513424	12122.0942206796	4834.20235620903	5807.60084652321	6116.61055713171	5768.98516303554	7638.83427993143	6871.65574303406	7531.57435217264	7810.27623769892	8051.7821439583	8442.12696346114	10399.2477209962	5609.23007095493	16535.4599345401	4868.36830887799	4872.50812826675	4771.79080428379	5857.82693850474	13447.5258808949	12072.1414987983	11202.796520339	6376.31306906734	6885.43160171753	6661.7652102935	6344.87392740622
"GLUCARDEG-PWY"	59.6302558698616	11.6372380735431	167.482996154001	186.77725014725	28.3245776281095	169.025883922219	56.7098897312052	66.4267816245537	99.2127052471198	59.7144431641701	21.9944289693593	40.2585894400846	77.6088782548935	4.40146829847643	69.1259939520531	29.0296332074245	135.782335476856	161.769867546645	101.869378312071	172.192309574376	157.185411112779	559.37306289213	0	101.067594672284	1.98788307162279	0	214.121671732437	183.8293082584	492.261294417007	208.084141376613	73.3603461585663	134.741311157012	71.2981345854493
"GLUCARGALACTSUPER-PWY"	7.68390839801535	10.8085659155317	130.697421167799	43.4396441236345	20.6446996638377	79.5628328486665	50.2090866139018	53.5407646603954	0	0	19.3476722025592	36.084170463179	59.4834252493193	4.40146829847643	32.207967677142	27.1732086296887	0	80.9075768252256	81.5757737277344	52.1570306538735	66.0770680595525	379.132512995096	0	65.4685250953781	1.98788307162279	0	43.9859759220831	99.310205039178	492.261294417007	101.450695518587	67.5065583472999	75.1966230206394	60.3430792905159
"GLUCONEO-PWY"	13187.1948509802	7044.0901439166	12450.302584489	10696.1894621253	10693.9504735629	15669.4123633724	8820.13846265113	7407.92267025939	10231.2054877485	6830.98614011318	5738.34305119672	7175.60831411795	7228.32155144563	8460.83787305522	7099.48248598387	9310.67108296703	9159.47288599259	10681.2277581319	9432.72983212514	9944.07130318209	8066.40515540854	18925.1553831214	5572.60103661695	5742.17717949487	8036.12868619917	7148.91900649903	11543.8762618003	13591.9261987104	14451.2519866403	7807.54130129111	6818.96421405253	8431.59516141171	8137.17915751079
"GLUCOSE1PMETAB-PWY"	10.6556522224875	1.33987339183802	7.71753786461031	4.65900227611676	7.33759750991086	77.804261337496	201.01510682874	514.815205396485	0	6.65685472136421	12.6459926133215	45.853249185103	436.353558750357	9.81425114074131	0	0	4.65885284490828	2.65969249543889	53.8510994437165	6.65784411334984	52.4906696579046	28.6404976705822	7.99420307707915	3.33914645194067	22.632386926215	341.819808750467	3.9993820699883	0	2605.70469856916	0	0	7.33678337343499	5.99775670744474
"GLUCUROCAT-PWY"	6237.85359455506	2039.21589254058	5039.85843563493	3050.21229472995	3218.62398212756	4403.83167005407	4337.8482237758	2516.39255318681	7821.00235695954	3688.86310529035	1727.6305326508	2840.96920399146	2761.44378497418	3242.95377808314	2382.58614861568	3434.46781742563	3139.15568351554	4093.28368531476	3386.3909279404	2957.47893652381	3819.35203541029	8172.98442800154	2370.64522586345	2124.69110001823	3002.40653445815	3749.18880445409	3212.85065619217	5204.38666035171	7394.45903901058	3054.73487029302	2414.03267585643	3592.96322170216	3589.8032030852
"GLUTORN-PWY"	6098.89024650348	1899.63396062221	6631.89130259961	3926.52001719279	3262.8652717314	5845.18579719447	3885.01529517614	2805.81429662885	9302.04384213911	3537.47848116127	1688.68286599381	2487.77509537938	3258.3912504725	3737.20397375564	3067.52049014801	3053.57679468266	5345.10851900794	5464.00613115326	4354.43997889192	3394.2688377016	3395.33466423931	10569.5927057813	2035.26010776012	3063.19117275822	5641.41300635971	4136.9229327814	5614.23725768201	7708.48292154859	8810.73084381837	3244.72676794781	3287.62702345138	4275.27394719896	4340.21942417884
