"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"ARGSYNBSUB-PWY"	15397.7107676343	10000.9418691095	7094.66301146113	7141.97931598388	2276.64135249236	7843.89876725365	5039.8208862335	12739.3178619956	4637.58417318351	14530.6412432261	5992.29254513633	7783.27174653684	3768.40460839938	7578.61175880418	3324.99024430883	7536.92254514855	3207.92214196879	10830.7329571927	5409.80520647157	4022.50799463236	8569.25178196199	7537.82264083886	1797.34768631219	3035.18174683573	4044.55187985093	4925.6199325905	11755.5026513847	4604.57970601392	5421.87339489051	6836.64994517947	3859.3197577316	4119.04270590225	5623.65816828384	6746.23196048796	6358.50636236934	5762.73956262873	6740.86563878754	7547.32216057696	5498.08957016137	4514.02953365245	7666.36592249307	4095.13339773818	4783.83282630683	12276.9890649294	2034.64982835052	1597.96821072424	3813.74983565599	4285.20510036099	5962.67240413365	6871.56464174973	4263.91032259245	6199.16074448794	7444.47571852579	6888.33171371246	9024.75057808598	6812.81279912438	10491.3099835715	8844.50571985399	6899.12158941302	7900.20736705462	12573.3715155188	4457.81455536161	4051.86225819049	6322.69900759418	4063.46515131697	5012.6941653413	5008.18874806932
"ARO-PWY"	17030.9111415592	12054.8316020095	10301.623080878	7828.86141566847	2614.60211079591	9152.26139804865	5862.47808878272	14763.0495429093	5725.75701936451	16087.7815592179	6465.60275384478	7927.15586844254	4469.62227206447	9089.64088071705	4895.89170439846	8891.43728132933	3719.17370945815	11489.2473901311	6295.22071402036	4865.19461537598	9852.29624982511	8484.81520711912	2189.93934928926	3842.65762663185	4671.45909106109	5314.52314541742	12814.8079894342	5038.25473397468	5855.0340699329	7467.62781815831	4120.631601364	5701.3685120015	6377.11089299766	7736.60089377486	6948.81533064383	7417.206009595	8583.86723684805	8624.99698144148	6555.66497676004	5079.98498470461	9410.16497257358	5275.00975212508	5526.432359906	14160.1310261598	2762.6710102347	2729.01322967967	4593.63611125285	5042.7725838181	6330.63590814221	7681.32342984935	5359.27863057672	6950.87181418319	7074.37150010279	7608.38735737959	10227.2040887115	7452.63584615892	11552.016462159	10419.393742126	7858.47755565681	8894.33548624033	14692.7536608014	5054.03401593253	4570.30704002142	6669.01071915922	4328.74189666896	5786.06746869643	5931.64768727486
"ASPASN-PWY"	18936.833875738	11440.5040151991	13324.3402533776	8621.82084363281	4868.02311219389	11289.3999696129	9171.21800943686	13488.3177987155	8696.57599747089	18311.7839964589	8562.46617110998	11692.1379091516	4543.52896022855	10544.1837948596	8502.38770382753	10407.3654247127	6221.34759207464	11171.9380006502	8179.20757826286	6683.74141757253	10094.8088870171	7998.21202271617	4296.52945074411	6205.56759476589	6076.65174151817	5627.11470227738	12260.8022171985	6790.46715443886	6790.53412350538	9377.87633321772	5752.47940003127	8283.40877833023	6892.53106724245	8293.2354841164	8316.67084806908	8757.265502773	9984.52440136084	10827.6981331602	8733.24905405756	8077.51349146659	11698.3533569705	7613.15807932361	5846.65096975823	17329.109370656	4768.83659993713	4810.27596559691	5320.36456293617	5564.31666780272	6933.09866550979	8741.1891211125	7606.69481985567	8226.93882743254	9649.04941305936	8315.67075526573	12880.5463870018	10133.4331972255	14123.1185372509	13464.3185467789	8816.42476721901	8821.76784015979	13435.9554050046	5277.10953356799	6558.19599905876	8084.37515088449	5955.79196825329	7555.00968091177	7401.29299969349
"AST-PWY"	0	0	4.44444444444444	0	0	0.86	0	0	0	4.44444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2.34812680115274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	1.11111111111111	0	0	0	0	0	0	0	20.29	19.71	0	0	0	0	0	0	0	0	0
"BIOTIN-BIOSYNTHESIS-PWY"	573.035113816512	0	41.7154285488903	157.605136376796	0	313.924999385062	0	174.730373384244	419.26391381878	861.352752590915	133.801415898893	188.030056942539	0	117.6871978232	145.074443375365	414.7164670741	180.920931464755	151.188446499798	160.692778211405	0	234.417579218342	0	117.523791317903	24.3496182579035	179.075801769683	57.2566181830933	171.909176245888	232.826009348651	145.120073178819	368.436546599125	176.89102464672	195.07875147963	0	90.863422737301	51.8993472576324	468.846698259069	504.99074776097	266.401520685623	192.684288392546	294.883627506324	195.271272812245	162.244940230746	89.307196490509	326.754157924257	41.4741507270852	430.864594347545	301.233080752311	217.474906710647	226.452217151775	261.742944202784	696.069534183644	258.614001452247	76.8890614854468	221.793261061208	568.122948938569	415.040231214231	4902.91779466438	4832.85174403257	239.37477528082	428.427578806189	415.538180706842	394.105884540443	365.300089268595	218.514216445512	190.506803425825	173.726219499084	187.075512239939
"BRANCHED-CHAIN-AA-SYN-PWY"	19865.7656244117	12500.1788980073	12187.03141393	9064.32724667335	3786.61599284241	10636.8616141102	7920.24155332165	14763.7391202739	6357.9056790708	18527.3525512281	7869.0732804147	10236.3889619759	4955.51259667227	10719.9721763782	6782.9311221646	11243.1997967536	5276.86956736774	12369.5390583859	7263.67401536536	5709.58752560622	10665.6784733727	9427.95484579385	3238.64358556255	4953.09639182702	5211.49428098096	5835.47876458875	12933.750098629	5597.42826414356	6505.480291553	8809.12455313383	5241.57960987569	5800.22322538764	6997.50737851376	8932.09074094179	8099.57110814853	7643.88126889718	8797.56064651662	10080.3575397113	7736.86189615049	6711.10621542009	9924.83025441987	5831.93380416794	5817.45213203284	17637.1715936685	3621.35016223312	2820.05040431733	4751.06829341705	5701.566890654	7782.00036120321	8859.35690898008	6511.64718772638	8368.37995274304	9339.3547563001	8975.4790106399	12735.5830219885	9155.37719221713	16252.1422060974	14731.7028391628	8755.58009861498	10038.3737251074	15449.3612713116	5403.07865549095	5533.74347321157	8509.34084823079	5879.38494168394	6756.34116094022	7006.01126753687
"CALVIN-PWY"	26609.0008748466	15346.0132084481	16231.3045140651	12188.4101513808	6172.00812536427	13739.3316982949	10712.3677555284	18830.3268552088	10362.8040940056	22762.1473821911	10388.4762158994	14932.9319157147	6522.75906931634	14031.1933728515	9234.06986510463	13341.9806707394	6773.11042448598	15279.7838981301	9836.13225480295	7600.81192207129	13412.7087315631	11655.1876693866	4688.61023504079	7188.459462517	7659.17519411897	7231.63161183596	17191.2739823461	9019.299661507	9501.14878254145	12094.2660716101	7528.23216199285	9578.38444757028	9649.07292454469	10910.5824561338	10443.4194775523	11044.3927520825	12803.2966531099	12988.8565911161	10088.6790967662	9447.39230605773	14642.4717761159	8790.88575483755	7736.54192044261	20932.5264635639	5332.72893601213	5594.89176616884	7253.8643607741	7142.94777843633	9152.05359943912	10884.4895601821	7684.87953579448	10330.2373840134	12329.4329192484	10806.7561781214	15022.340004018	12940.0643034315	17378.4577226555	15748.9023375038	11719.4082547189	11984.3483538212	17788.0952725978	6987.91334856935	8079.68937480005	10123.6317779356	7108.29734690885	9180.8105803224	9094.79166536561
"CATECHOL-ORTHO-CLEAVAGE-PWY"	0	0	4	0	0	15.5	0	0	0	7.75	6.75	64.25	0	0	0	0	0	0	0	0	5.75	0	1.25	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.571428571428571	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CENTFERM-PWY"	62.5368063724616	5.24665490272866	35.6574288193404	0	0	719.335919406474	0	24.4113135254641	20.761940601736	492.681907425119	517.848438514842	1319.92815374287	0	0	0	0	30.5132170573151	0	0	0	296.48264002677	0	6.93221183991752	0	0	20.8653433818928	41.8086853377427	15.5945990600722	17.3790994872353	17.384919091357	0	0	0	20.8558680146186	0	6.98292103619887	0	0	0	0	41.4079412907026	17.3172809337007	126.737412228274	24.3867388889727	0	3.48173345723531	0	13.8467298478198	6.96696532306413	78.939911640499	0	0	0	0	0	0	62.12907258987	104.040918412582	13.94617236286	0	10.4830825635269	0	0	0	0	17.386750005433	0
"CHLOROPHYLL-SYN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COA-PWY"	19177.6660332363	11386.4140557163	13233.9127817203	8467.13845117916	6679.45772912481	11499.8748533793	10416.0586098626	13884.8434918202	10608.6883099995	17797.0172124193	8743.51644733054	15039.7683713146	4556.9827862469	10109.4911968819	8543.18391315513	10143.2842616675	7104.9420138594	11722.5904501269	7980.6378619461	6483.90511236498	10290.4531685503	8328.86453810691	5606.51174158176	6977.31635183114	6961.69855599849	5744.61289197388	13075.4485788219	8364.93045450676	8022.31195127074	9793.07441091565	6582.96342241699	9099.29925812478	6620.71487094566	7969.99799188639	8363.36461665737	8684.73122024488	9893.44361088554	11117.0817971779	8923.19314198415	9473.32269015939	11533.0621485975	7532.22655111404	5940.8027099591	16519.1275248174	5319.25695233157	6052.63500368716	5516.25454538154	5439.80908609715	7205.80223475784	8649.44178186596	7313.98764241806	7891.87821732881	11917.023850128	8017.47155574501	12416.2446303014	10621.559904266	13076.5375360482	12258.0340347013	8793.91213513854	8743.2122136284	12860.5279767685	5392.88759604996	7227.20957672187	8021.69097506671	6175.31440140298	7653.41385234072	7327.1687476016
