MouseID,T1 (s),T2 (s),T3 (s),Average_Latency,SLC_Genotype,ASO_Tg,Sex,Day,Cohort
669,29.2,50.3,48.1,42.53333333,HET,Negative,Female,Two,One
332,88.9,109,83.8,93.9,MUT,Negative,Female,Two,One
670,24.1,65.3,62.3,50.56666667,WT,Negative,Female,Two,One
330,55.3,74.9,34.3,54.83333333,HET,Negative,Male,Two,One
329,73.7,62.7,29.6,55.33333333,HET,Negative,Male,Two,One
545,8.6,12,26.6,15.73333333,HET,Negative,Male,Two,One
333,13,37.2,25,25.06666667,HET,Negative,Male,Two,One
335,15.9,44.3,32.6,30.93333333,HET,Negative,Male,Two,One
338,74,58.1,68.9,67,HET,Negative,Male,Two,One
339,87.8,96.1,101,94.96666667,HET,Negative,Male,Two,One
341,56.4,59,104,73.13333333,HET,Negative,Male,Two,One
537,74.7,59.9,47.4,60.66666667,WT,Negative,Male,Two,One
326,114,126,139,126.3333333,HET,Positive,Female,Two,One
544,3.1,1.7,1,1.933333333,HET,Positive,Female,Two,One
604,125,67.6,143,111.8666667,HET,Positive,Female,Two,One
719,66.4,122,80.4,89.6,HET,Positive,Female,Two,One
351,78.4,77.4,99.6,85.13333333,HET,Positive,Female,Two,One
667,118,95.5,81.1,98.2,MUT,Positive,Female,Two,One
665,80.7,71.5,42.5,64.9,MUT,Positive,Female,Two,One
336,103,117,135,118.3333333,MUT,Positive,Female,Two,One
542,156,143,138,145.6666667,MUT,Positive,Female,Two,One
540,23.4,2.3,27.4,17.7,WT,Positive,Female,Two,One
331,73.5,48.6,67.3,63.13333333,HET,Positive,Male,Two,One
334,42.1,53.1,58.6,51.26666667,HET,Positive,Male,Two,One
337,84.5,82.9,88.3,85.23333333,HET,Positive,Male,Two,One
536,50.6,41.1,46.3,46,HET,Positive,Male,Two,One
582,97.8,43.5,110,83.76666667,HET,Positive,Male,Two,One
340,23.7,29.5,27.5,26.9,HET,Positive,Male,Two,One
661,34.7,44,37.1,38.6,MUT,Positive,Male,Two,One
791,35.9,36.4,29.8,34.03333333,WT,Positive,Male,Two,One
663,27.4,11,24,20.8,WT,Positive,Male,Two,One
670,9.3,34.8,66.4,36.83333333,WT,Negative,Female,Three,One
669,19.1,61.4,76.6,52.36666667,HET,Negative,Female,Three,One
718,97.9,97.4,105,100.1,HET,Negative,Female,Three,One
332,79,98.2,101,92.73333333,MUT,Negative,Female,Three,One
539,59.5,100,91.2,83.56666667,HET,Negative,Female,Three,One
327,76.1,97.8,76.5,83.46666667,HET,Negative,Female,Three,One
328,147,169,191,169,HET,Negative,Female,Three,One
320,103,135,115,117.6666667,HET,Negative,Female,Three,One
537,80.7,74.7,82.7,79.36666667,WT,Negative,Male,Three,One
341,131,140,129,133.3333333,HET,Negative,Male,Three,One
545,33.4,32.6,40.8,35.6,HET,Negative,Male,Three,One
333,30.2,31.2,39.6,33.66666667,HET,Negative,Male,Three,One
335,4.3,18.6,50.2,24.36666667,HET,Negative,Male,Three,One
338,58.8,103,66.6,76.13333333,HET,Negative,Male,Three,One
339,123,110,89.7,107.5666667,HET,Negative,Male,Three,One
330,34.9,37.7,41.8,38.13333333,HET,Negative,Male,Three,One
329,17.4,25.1,77,39.83333333,HET,Negative,Male,Three,One
665,65.9,48,72.9,62.26666667,MUT,Positive,Female,Three,One
667,118,84.5,107,103.1666667,MUT,Positive,Female,Three,One
336,111,28.8,71.7,70.5,MUT,Positive,Female,Three,One
540,28.1,29.9,35.3,31.1,WT,Positive,Female,Three,One
719,80.9,88.9,111,93.6,HET,Positive,Female,Three,One
351,46.9,95,137,92.96666667,HET,Positive,Female,Three,One
542,115,143,110,122.6666667,MUT,Positive,Female,Three,One
604,144,135,141,140,HET,Positive,Female,Three,One
544,1.6,1.3,1.1,1.333333333,HET,Positive,Female,Three,One
326,92.4,111,133,112.1333333,HET,Positive,Female,Three,One
340,24.5,48.6,27.7,33.6,HET,Positive,Male,Three,One
582,74.9,83.5,55.4,71.26666667,HET,Positive,Male,Three,One
536,34.5,32.8,48.1,38.46666667,HET,Positive,Male,Three,One
661,39.9,24.7,17.1,27.23333333,MUT,Positive,Male,Three,One
334,67.8,53.8,67.6,63.06666667,HET,Positive,Male,Three,One
791,57.6,97.7,74.1,76.46666667,WT,Positive,Male,Three,One
337,79,87.6,97.7,88.1,HET,Positive,Male,Three,One
331,45.1,75,53.6,57.9,HET,Positive,Male,Three,One
663,22.6,18.9,39.8,27.1,WT,Positive,Male,Three,One
605,80.3,78,60.8,73.03333333,HET,Negative,Female,One,Two
606,132,159,106,132.3333333,HET,Positive,Female,One,Two
607,42.9,80.5,70.9,64.76666667,HET,Negative,Female,One,Two
610,56.1,96.8,94.1,82.33333333,MUT,Positive,Female,One,Two
611,40.9,62,105,69.3,MUT,Negative,Female,One,Two
612,118,123,99.7,113.5666667,MUT,Positive,Female,One,Two
661,77.3,73.2,105,85.16666667,MUT,Negative,Female,One,Two
662,253,209,92.8,184.9333333,MUT,Positive,Female,One,Two
663,146,140,197,161,MUT,Positive,Female,One,Two
664,59.4,112,79.3,83.56666667,WT,Positive,Female,One,Two
665,35.6,56.5,50.8,47.63333333,WT,Negative,Male,One,Two
666,78.8,104,104,95.6,WT,Positive,Male,One,Two
667,67.7,118,68.1,84.6,MUT,Negative,Male,One,Two
669,97.5,75.9,64.5,79.3,HET,Negative,Female,One,Two
670,84.5,104,89.9,92.8,HET,Positive,Female,One,Two
672,14.7,6.6,42.7,21.33333333,HET,Negative,Male,One,Two
673,3.8,59.8,106,56.53333333,WT,Negative,Male,One,Two
839,120,9.5,125,84.83333333,HET,Negative,Female,One,Two
844,85.8,147,94.1,108.9666667,WT,Negative,Female,One,Two
668,68.2,69.8,98,78.66666667,WT,Positive,Female,One,Two
853,56.5,31.5,86.1,58.03333333,MUT,Positive,Male,One,Two
609,57.2,44.4,27.9,43.16666667,HET,Negative,Male,One,Two
856,28.9,21.2,43.9,31.33333333,HET,Positive,Male,One,Two
609,52.1,61.7,41.5,31.33333333,HET,Negative,Male,Two,Two
856,37,105,58.4,31.33333333,HET,Positive,Male,Two,Two
672,71.6,79.8,52.9,31.33333333,HET,Negative,Male,Two,Two
673,65.5,51.9,76.3,31.33333333,WT,Negative,Male,Two,Two
668,181,96.9,155,31.33333333,WT,Positive,Female,Two,Two
605,154,99,120,31.33333333,HET,Negative,Female,Two,Two
607,101,59.7,92.6,31.33333333,HET,Negative,Female,Two,Two
606,153,144,161,31.33333333,HET,Positive,Female,Two,Two
853,122,85.9,114,31.33333333,MUT,Positive,Male,Two,Two
669,93.2,26.9,69.2,31.33333333,HET,Negative,Female,Two,Two
839,118,125,156,31.33333333,HET,Negative,Female,Two,Two
670,105,89.4,106,31.33333333,HET,Positive,Female,Two,Two
612,200,188,169,31.33333333,MUT,Positive,Female,Two,Two
610,126,151,150,31.33333333,MUT,Positive,Female,Two,Two
611,86.9,91,120,31.33333333,MUT,Negative,Female,Two,Two
667,23.1,23.4,31.4,31.33333333,MUT,Negative,Male,Two,Two
665,88.6,90.4,83.3,31.33333333,WT,Negative,Male,Two,Two
666,102,151,146,31.33333333,WT,Positive,Male,Two,Two
664,148,183,207,31.33333333,WT,Positive,Female,Two,Two
844,15.2,151,107,31.33333333,WT,Negative,Female,Two,Two
661,132,109,161,31.33333333,MUT,Negative,Female,Two,Two
663,173,209,182,31.33333333,MUT,Positive,Female,Two,Two
662,285,176,190,31.33333333,MUT,Positive,Female,Two,Two
670,126,109,117,31.33333333,HET,Positive,Female,Three,Two
839,159,152,147,31.33333333,HET,Negative,Female,Three,Two
669,139,98.6,104,31.33333333,HET,Negative,Female,Three,Two
668,108,80.3,136,31.33333333,WT,Positive,Female,Three,Two
610,157,234,140,31.33333333,MUT,Positive,Female,Three,Two
612,156,105,151,31.33333333,MUT,Positive,Female,Three,Two
611,110,104,139,31.33333333,MUT,Negative,Female,Three,Two
667,39.7,39.8,76.8,31.33333333,MUT,Negative,Male,Three,Two
664,170,167,201,31.33333333,WT,Positive,Female,Three,Two
844,108,133,203,31.33333333,WT,Negative,Female,Three,Two
666,86.2,144,110,31.33333333,WT,Positive,Male,Three,Two
665,50.3,55.5,29.3,31.33333333,WT,Negative,Male,Three,Two
853,116,106,108,31.33333333,MUT,Positive,Male,Three,Two
606,128,176,149,31.33333333,HET,Positive,Female,Three,Two
607,48.3,33.8,39.9,31.33333333,HET,Negative,Female,Three,Two
605,53.8,117,111,31.33333333,HET,Negative,Female,Three,Two
856,10.2,28.5,75.8,31.33333333,HET,Positive,Male,Three,Two
609,62.8,62.3,68.7,31.33333333,HET,Negative,Male,Three,Two
672,42.9,65.8,51.6,31.33333333,HET,Negative,Male,Three,Two
673,58.8,60.8,84.6,31.33333333,WT,Negative,Male,Three,Two
663,85.3,156,142,31.33333333,MUT,Positive,Female,Three,Two
661,169,129,121,31.33333333,MUT,Negative,Female,Three,Two
662,121,132,139,31.33333333,MUT,Positive,Female,Three,Two
