"PFF_Cecum_11"	"PFF_Cecum_12"	"PFF_Cecum_13"	"PFF_Cecum_14"	"PFF_Cecum_15"	"PFF_Cecum_16"	"PFF_Cecum_17"	"PFF_Cecum_18"	"PFF_Cecum_19"	"PFF_Cecum_1904"	"PFF_Cecum_1906"	"PFF_Cecum_1907"	"PFF_Cecum_1908"	"PFF_Cecum_1910"	"PFF_Cecum_1913"	"PFF_Cecum_1914"	"PFF_Cecum_1917"	"PFF_Cecum_1920"	"PFF_Cecum_1921"	"PFF_Cecum_1937"	"PFF_Cecum_1938"	"PFF_Cecum_1941"	"PFF_Cecum_1942"	"PFF_Cecum_1943"	"PFF_Cecum_1944"	"PFF_Cecum_1945"	"PFF_Cecum_21"	"PFF_Cecum_25"	"PFF_Cecum_27"	"PFF_Cecum_28"	"PFF_Cecum_30"	"PFF_Cecum_32"	"PFF_Cecum_35"	"PFF_Cecum_36"	"PFF_Cecum_37"	"PFF_Colon_11"	"PFF_Colon_12"	"PFF_Colon_13"	"PFF_Colon_14"	"PFF_Colon_15"	"PFF_Colon_16"	"PFF_Colon_17"	"PFF_Colon_18"	"PFF_Colon_19"	"PFF_Colon_1904"	"PFF_Colon_1906"	"PFF_Colon_1907"	"PFF_Colon_1908"	"PFF_Colon_1910"	"PFF_Colon_1913"	"PFF_Colon_1914"	"PFF_Colon_1917"	"PFF_Colon_1920"	"PFF_Colon_1921"	"PFF_Colon_1937"	"PFF_Colon_1938"	"PFF_Colon_1941"	"PFF_Colon_1942"	"PFF_Colon_1943"	"PFF_Colon_1944"	"PFF_Colon_1945"	"PFF_Colon_1946"	"PFF_Colon_21"	"PFF_Colon_25"	"PFF_Colon_27"	"PFF_Colon_28"	"PFF_Colon_30"	"PFF_Colon_32"	"PFF_Colon_35"	"PFF_Colon_36"	"PFF_Colon_37"
"PWY-5861"	22.015	31.2605	278.9865	82.7982	3678.5447	240.8337	2487.3257	1233.9014	115.165	0	539.4624	1069.2837	53.0671	0	912.8431	251.3699	88.8624	723.6571	482.9604	2583.9763	633.2658	204.3678	1680.3854	945.5118	1353.5919	247.3069	10.2363	32.97	94.3763	63.2508	198.506	0	119.6163	23.5276	26.5443	104.3661	82.1739	692.4225	144.7265	3452.8306	878.4164	1790.2034	344.0191	118.3171	0	1427.0248	773.0535	103.6112	40.3003	30.6779	440.9193	270.256	793.4589	1630.7875	3199.1222	1108.1247	561.0779	1877.5199	2976.5039	3420.8188	362.857	736.0979	47.3826	99.3718	41.7877	42.5668	238.6075	0	497.1141	83.4421	70.7826
"PWY-5862"	21.8408	28.2156	43.317	52.4936	300.1576	66.0469	372.7974	341.0439	92.9752	0	145.4662	97.5298	0	0	0	184.4298	74.6462	299.3617	172.0289	532.4894	0	0	39.3551	38.8867	84.1923	42.6114	8.826	10.3884	64.9586	45.3576	170.7659	0	110.3157	15.7917	23.0701	99.785	75.0092	53.093	50.6991	710.7974	486.5211	409.6449	122.2103	97.2885	0	1134.5468	108.7342	0	31.5014	0	326.8978	135.1338	38.6748	1575.7639	860.9208	31.3853	134.8474	47.167	405.3333	70.9347	0	95.0634	0	26.8531	39.1814	36.8242	150.0112	0	429.0357	70.7649	62.8712
"PWY-5863"	11.022	15.6707	142.5531	41.5041	2346.9755	121.474	1317.7916	624.6075	57.7084	0	276.6703	562.1929	26.5893	0	468.7486	127.3591	44.6576	373.2729	246.218	1436.0454	336.8923	103.2433	882.1182	489.6568	725.0864	124.5711	5.1196	16.4979	47.2801	31.7084	100.2547	0	60.2065	11.7842	13.2833	52.2809	41.2317	354.0168	72.5743	2127.1547	446.9468	965.2428	173.7699	59.3167	0	754.5817	396.6073	52.0094	20.1708	15.3572	223.617	136.5698	410.0481	882.0395	1823.9734	583.8675	285.3377	983.7807	1594.2185	1901.5704	183.5302	376.0831	23.7286	49.7788	20.9186	21.303	120.5014	0	252.4087	41.8862	35.4413
"PWY-5896"	0	0	0	0	0	0	0	79.8822	0	0	0	0	0	0	0	11.7717	0	16.9686	0	0	0	0	0	0	8.0158	0	0	15.5744	0	0	0	0	0	15.5325	0	0	21.4901	0	0	0	0	0	56.9234	0	0	0	0	0	0	0	21.8582	0	23.6556	1545.0279	0	0	0	0	0	0	0	45.0144	0	37.7588	0	0	0	0	0	84.7472	76.4131
"PWY-5897"	28.8798	40.9544	363.2846	108.3811	4433.4896	313.1704	3116.5842	1583.8938	150.6382	0	700.2615	1370.9384	69.5196	0	1164.7401	327.9333	116.3982	935.8459	628.0044	3067.368	814.6205	264.7906	2068.7796	1197.0091	1710.3964	322.2144	13.429	43.2283	123.4961	82.7704	257.8727	0	156.4558	30.8542	34.8163	136.711	107.4157	895.157	189.0956	4180.9058	1117.696	2203.9933	441.4988	154.7418	0	1812.6915	994.7331	135.475	52.8584	40.1881	572.325	352.6401	1025.6469	2080.7866	3512.7578	1417.3386	719.364	2312.6226	3622.2617	4168.0179	468.8765	951.4405	62.0187	130.0788	54.7638	55.76	308.3165	0	647.5052	109.3064	92.7508
"PWY-5898"	28.8798	40.9544	363.2846	108.3811	4433.4896	313.1704	3116.5842	1583.8938	150.6382	0	700.2615	1370.9384	69.5196	0	1164.7401	327.9333	116.3982	935.8459	628.0044	3067.368	814.6205	264.7906	2068.7796	1197.0091	1710.3964	322.2144	13.429	43.2283	123.4961	82.7704	257.8727	0	156.4558	30.8542	34.8163	136.711	107.4157	895.157	189.0956	4180.9058	1117.696	2203.9933	441.4988	154.7418	0	1812.6915	994.7331	135.475	52.8584	40.1881	572.325	352.6401	1025.6469	2080.7866	3512.7578	1417.3386	719.364	2312.6226	3622.2617	4168.0179	468.8765	951.4405	62.0187	130.0788	54.7638	55.76	308.3165	0	647.5052	109.3064	92.7508
"PWY-5899"	28.8798	40.9544	363.2846	108.3811	4433.4896	313.1704	3116.5842	1583.8938	150.6382	0	700.2615	1370.9384	69.5196	0	1164.7401	327.9333	116.3982	935.8459	628.0044	3067.368	814.6205	264.7906	2068.7796	1197.0091	1710.3964	322.2144	13.429	43.2283	123.4961	82.7704	257.8727	0	156.4558	30.8542	34.8163	136.711	107.4157	895.157	189.0956	4180.9058	1117.696	2203.9933	441.4988	154.7418	0	1812.6915	994.7331	135.475	52.8584	40.1881	572.325	352.6401	1025.6469	2080.7866	3512.7578	1417.3386	719.364	2312.6226	3622.2617	4168.0179	468.8765	951.4405	62.0187	130.0788	54.7638	55.76	308.3165	0	647.5052	109.3064	92.7508
"PWY-5910"	3027.2885	3970.7542	2198.6871	12061.7178	2480.1375	9359.1808	16753.6132	43986.8105	11364.3692	8534.719	4332.0205	5319.1541	8877.0511	9245.4521	10772.1393	4747.8767	4474.7035	12595.5352	7638.6064	8621.2728	1255.2025	9100.5866	9067.9675	8222.6451	5221.1989	9970.9602	16032.8732	12794.4691	18844.883	9546.156	7489.0114	3491.3295	5607.3927	4373.6594	9990.6159	10555.62	10224.8349	5913.5924	9064.3819	2765.3995	16449.8572	10120.5055	14721.8636	9449.778	14265.9802	6014.9496	6935.6871	8744.6961	17079.1324	7355.3482	6991.2608	7433.9126	12769.939	6951.8083	6921.445	3918.184	15493.6254	6246.6789	10540.1069	6903.082	5482.8176	4409.1597	10954.9926	5107.8989	12981.7425	12155.3607	5960.16	8969.6396	6226.2133	5101.5285	12205.8766
"PWY-5913"	6278.2431	2624.2523	5083.8624	4614.214	10628.4252	5851.5777	9770.5288	16774.0954	4691.8736	3306.4722	8760.5218	7647.8332	2679.9076	3829.5602	7959.1238	7261.7551	4002.7211	6629.3529	9436.2966	8792.3555	5163.8495	1698.1491	5561.002	6368.1775	7862.7794	6371.6478	3870.697	2343.1056	6591.9083	6646.1674	4366.6496	3057.7469	4809.8114	5587.4626	8202.3487	9310.1502	3233.1097	8070.0163	3802.4352	10967.9714	5455.4179	4117.7658	4992.4036	4010.2251	4704.3708	8738.6555	4565.5216	2463.2443	5349.1156	3256.8989	5606.8217	3841.7588	5712.3363	5114.4167	5901.5017	6295.6762	2323.6176	4283.9323	7651.4999	7856.8135	3398.2032	9729.8194	3070.5979	3406.0332	5374.1087	6525.3806	2757.4323	3993.9905	10424.1411	7080.8133	8531.8084
"PWY-5918"	1416.1727	357.8934	223.1744	153.253	1064.1102	467.9232	836.0545	2309.9794	528.6833	89.0305	1246.0666	64.5048	39.7943	108.9021	464.6786	707.1911	759.151	684.5892	1393.8787	2280.3609	107.669	0	184.6657	170.9548	814.168	156.6138	221.1936	123.0536	217.8967	479.8229	483.732	170.8669	953.4413	59.6306	570.7177	1719.1401	327.8455	372.2877	153.7843	1383.2808	740.8346	477.4628	528.9457	541.7042	209.1082	2210.3706	172.929	73.9999	334.4814	34.5692	808.9299	852.6858	211.0949	4702.3102	1145.6522	68.7644	308.8635	213.7243	946.948	1035.1883	108.6448	688.0552	156.3426	193.1787	342.7151	592.9758	244.1033	126.4282	2821.7153	352.3792	708.9534
"PWY-5920"	124.1365	0	0	0	145.3053	94.2262	0	27.2341	0	0	35.3266	0	0	0	30.6576	67.5529	23.5123	5.6897	0	100.9039	0	0	32.0647	0	2.6743	34.4667	0	6.0852	15.2954	0	0	15.1061	0	10.6553	0	508.8688	7.8791	0	0	297.2272	291.7004	0	20.0635	0	0	23.8247	11.4968	0	0	0	135.3128	53.7042	7.8118	707.6101	129.328	44.7029	0	81.7302	19.7244	42.8004	24.0897	45.918	0	14.1513	0	27.1903	22.5837	68.556	31.7483	40.771	272.0304
"PWY-5941"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5971"	509.0167	69.8222	372.4245	204.9584	241.3708	505.3031	816.4418	1157.7691	306.9734	380.7757	1359.5365	1747.9997	243.7766	210.5273	161.2367	173.8145	359.4673	688.2904	469.7015	105.6742	530.2181	107.5816	186.8555	97.6391	127.4387	449.4889	185.2607	299.5593	244.8967	189.1071	212.5454	287.7739	357.7732	115.537	185.1544	924.8833	79.8414	670.9642	206.9814	137.0881	354.8793	235.8212	301.4787	159.2998	735.1024	1185.7704	851.7024	360.7423	522.8807	55.8773	154.3312	234.5947	674.2015	615.6756	24.9719	599.4223	141.5005	146.2891	95.741	247.6397	252.2636	237.9199	201.2633	472.7203	212.8799	224.8647	283.9566	292.5363	1286.6404	502.8756	540.4181
"PWY-5973"	25798.9697	27086.0497	22864.6319	32743.9922	27235.4716	25183.7192	50044.328	90996.7063	36218.9894	22755.1521	31669.9466	23076.5607	21166.5576	23895.435	26823.6067	23073.3644	18499.1038	29402.8113	26746.8449	28439.0284	17939.0066	22337.2988	23777.5626	20818.4944	23362.647	24489.377	36641.3122	30676.99	43054.2753	33918.4088	26288.2715	18021.77	23638.6529	28692.1627	33640.9349	30713.5932	33625.8599	20242.1486	32725.2131	22080.8678	37596.9434	20115.9011	32225.2136	28025.0247	33570.0221	23193.2063	17659.602	19325.8682	28768.5151	19916.2526	19226.6371	17817.8354	17436.4024	22898.0264	17322.4802	13451.4713	31837.5584	23276.5313	27411.4159	20706.4044	17968.0592	18741.8665	25586.3227	29816.5512	32335.5014	34545.4396	15470.8602	19135.6009	22491.7872	35854.5084	29591.7118
"PWY-5989"	309.7066	41.9544	226.2525	123.2584	145.9152	305.5574	492.9593	697.4018	184.6805	229.8603	838.4076	1090.0499	146.8826	126.7051	96.9681	104.7012	217.7467	416.1407	284.0786	63.5016	327.5179	64.6508	112.4268	58.6907	76.6746	271.6833	111.34	180.3396	147.2252	113.7187	127.9626	174.1202	216.2989	69.4782	111.3627	561.6248	47.95	408.5907	124.4421	82.6182	213.5215	142.044	181.3328	95.7688	444.457	728.9598	521.0732	217.8696	315.5044	33.5547	92.9066	141.5222	408.8817	373.8547	14.9903	367.5829	85.0053	87.9656	57.5195	149.3517	152.1261	143.5799	121.0668	285.1995	128.0424	135.1881	171.4878	176.5653	794.2647	304.3273	326.5195
"PWY-6071"	0	0	0	0	0	0	0	10.628	0	0	0	0	0	0	0	1.6744	0	2.2782	0	0	0	0	0	0	0	0	0	2.4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5762	0	0	0	0	0	0	0	3.1145	0	3.061	21.3844	0	0	0	0	0	0	0	6.1962	0	5.8045	0	0	0	0	0	17.4676	0
"PWY-6107"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-6121"	26284.5637	27468.9451	23130.7442	35050.9198	27712.9756	26948.3246	50704.4437	96266.1638	39167.0998	24005.1964	31745.6168	24439.8531	22726.9577	23872.6704	29116.1457	23884.5386	18919.2866	29263.8182	27066.356	29365.1732	18992.5773	23194.6271	25776.0972	22725.1739	24667.7238	26495.3535	38791.0904	33289.4824	45949.6161	35081.4757	27393.5432	18742.0021	24546.2749	28867.8473	35307.6965	33963.3834	35167.5442	22253.2546	35891.6419	22719.1429	40339.1126	20731.2366	34096.0618	30653.9042	36080.2978	24118.4101	19772.4924	20815.3345	29465.4799	21811.0572	20929.5853	18860.8783	17963.9026	23012.2881	18398.768	16943.9254	33740.1002	25660.5674	30076.1274	22787.9834	19851.2449	20427.891	27356.9805	33076.5778	34334.422	36763.4883	16583.4828	20723.6673	24521.1849	35335.1081	32232.8354
"PWY-6122"	26084.5922	27926.1884	22827.7705	35508.5852	27696.1135	27170.4369	51554.0704	98869.6427	39901.9243	24324.6674	31418.9589	24040.9127	22887.7454	24563.3032	29349.0597	23580.489	18692.4999	29989.9917	27141.7378	30127.9807	18902.1207	23768.6277	25978.6274	22834.9933	24525.1618	26524.006	39671.2431	33786.1575	46922.5509	35809.746	27853.8681	18827.5594	24726.9682	28894.7994	35531.2187	33835.8856	36011.099	21772.3232	36434.3402	22668.9248	41263.1137	21111.9093	35213.8103	31049.6918	36424.0615	23898.0215	19502.1658	21003.6177	30051.3779	22275.0224	20815.1552	18695.0209	18350.0508	23334.2416	18853.3374	16565.7804	34639.9972	25834.4528	30266.3797	22593.102	19978.9961	20023.6826	27939.1258	33306.6821	34900.7505	37687.6388	16871.3123	20778.3538	24071.4992	35231.4507	32353.9814
"PWY-6123"	22453.3324	23645.9666	20079.1064	29021.8431	23798.9669	22411.8073	43528.4812	81487.0633	34061.3848	20181.5349	27633.2013	20874.0101	18821.4627	20386.0252	24028.652	20634.951	16138.7779	25313.4167	23100.0969	24776.7686	16274.8455	19475.901	21470.7858	18741.0954	20970.0772	21772.4211	32377.1319	27394.3529	38233.5174	29704.5985	23136.2949	15983.992	21029.5052	25588.8506	29673.9134	27618.8995	29465.5524	18227.4595	30953.8586	19206.3956	35012.7579	17627.3104	29919.3422	26010.8372	30313.1176	20218.3609	16252.7732	17187.9738	25428.2842	19124.4889	17104.8839	15624.7538	15875.5502	19303.5439	15505.9143	13799.8864	28417.9307	21847.8021	24590.1255	18523.3046	16745.5874	16698.781	23186.9252	28341.7686	28625.5029	32228.524	14101.3102	17174.9377	20455.9973	31393.9538	26588.67
"PWY-6125"	10167.8831	9073.9427	8253.5528	21032.7649	12696.0658	17663.7069	28306.9949	77301.5048	33799.7007	14917.7377	14743.7483	13061.8136	15144.3563	12777.5146	20557.6633	12839.796	8731.4317	17141.327	15558.6745	17808.6026	5678.0025	14604.347	20052.5185	15915.8726	13393.8123	18348.8631	27958.4396	24509.169	32387.9787	18985.4979	14480.0434	7998.119	11380.6991	12180.9559	19257.7112	26129.1536	17632.9899	14381.5021	30306.2364	11931.2045	35428.7095	15156.5765	29954.1917	25125.7343	26027.3947	14870.007	14475.662	15377.0371	25841.8024	18861.9006	15015.4168	12005.5025	17071.3772	14027.7966	15217.2089	9498.0905	25950.3296	21336.1568	23103.0863	15453.4342	16227.6804	14928.0249	21508.0299	27820.1683	22149.8615	32021.4834	13511.2882	15667.2088	16097.316	14550.5984	25341.4207
"PWY-6126"	20757.7787	20519.4224	18487.8145	32231.9417	23666.5845	25426.1753	52164.3687	95147.8532	38114.7869	23203.8043	29116.8009	23679.3619	22383.185	25895.35	27321.3368	22465.4242	19651.9107	34080.0234	27597.6147	26317.6126	15055.3877	23138.8428	24643.5217	21216.7759	21665.8618	24944.0404	38111.8353	31853.1996	43665.6971	31146.6911	23990.2406	17720.9032	23647.6772	29752.6411	31575.4786	31429.0057	30875.7236	20333.0018	34258.1877	19807.6064	39646.2959	22860.2386	33993.3934	29412.2395	34947.6148	23030.5406	19466.3392	21039.7779	32448.8997	21187.6586	19936.2129	19996.4936	23085.7822	23212.8069	17767.8187	15453.8692	34128.532	24266.5061	28223.2213	20980.6459	18686.1448	18506.8117	26758.6279	31122.1246	32335.1938	35719.3771	15904.7997	20939.8834	23597.2681	37473.8023	31071.5157
"PWY-6147"	15192.9289	14251.5359	15969.1168	16529.2002	14877.874	11863.4976	26224.2333	28093.7164	9000.963	9840.2128	19372.663	12558.6819	9684.6607	11611.9418	11654.5939	13937.1196	11690.2439	12558.268	15937.4589	16047.9664	11419.277	8893.4608	8347.9243	9310.7078	12050.9186	10400.1784	13341.8846	10817.1696	15733.0668	17420.2977	12934.5876	9861.4621	11863.3396	14800.8285	17645.161	12841.2707	14821.2733	12391.079	8638.0405	12880.8463	7337.3253	8408.3845	7278.3852	8653.8493	11492.8153	13522.4554	7883.2069	7761.048	8887.2834	4674.7345	9051.9951	9803.836	4885.3233	12429.0746	5918.962	9094.8509	9649.7488	6563.6705	10503.9725	10659.262	5489.8804	11631.7829	7845.5114	8019.5426	13118.5461	8022.7568	4879.0758	7919.2744	14667.6589	16469.5115	11903.2265
"PWY-6151"	16173.5433	20516.5855	15688.4351	23346.7778	17776.1131	16521.101	31574.5608	65580.5561	30278.2194	16796.6978	21836.0021	15862.391	16276.1158	18223.1463	18032.6376	15637.5616	13092.1987	21634.3616	16270.7657	16324.4872	12387.6642	16732.8795	18037.7971	13967.6517	14753.3098	17633.9305	28705.0047	24414.5862	31265.0675	21846.3951	16036.3569	11615.1729	17120.2642	16702.6979	23784.2837	24063.4983	26813.3857	14881.2553	27868.1581	14548.9964	31647.526	14929.2935	25145.3872	23209.4333	27422.2552	16392.7843	14483.8371	15693.6473	22107.8928	16891.9728	14923.3317	13772.6765	15734.1674	14297.6055	12180.0889	11575.619	25541.2999	19216.7636	20377.5269	14922.8455	15012.5065	12575.9366	20715.4899	25409.4	22903.5067	28014.6262	12311.1843	15353.5839	15014.9143	23651.6701	23137.3641
"PWY-6163"	23683.7187	25428.6584	21269.2278	22535.9852	25633.2429	17285.3949	39499.7886	43190.9844	10875.2025	15249.7994	27843.3541	19329.3365	13330.3271	18719.3867	16452.7125	19292.0729	16163.3296	22610.1567	22200.8564	21770.6927	17753.2642	14703.3225	11538.5568	12900.6908	19226.9886	14902.6197	20095.2665	14798.7362	24418.2835	26734.2848	20911.7326	16107.0471	20624.7182	26710.7084	26562.3331	14649.3583	26661.1875	13599.9201	9668.6956	20001.0646	11754.1877	12680.226	10621.1031	10218.5798	17518.875	17521.6461	10033.5282	10281.7263	11399.6169	5941.5661	10974.5756	12616.0623	7264.7684	17648.9251	8110.908	11217.4008	15305.5352	7845.8422	13255.3584	13031.0402	6282.5912	11747.8936	11403.9646	8245.3093	20710.5884	10660.4594	6071.4865	10379.8316	17230.5511	32043.3814	14149.9296
"PWY-6165"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8679	0	11.1597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.375	0	11.7546	7.9381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-6182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.6483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-621"	25816.585	29974.0289	22633.6211	35958.5617	26634.9449	26959.4536	53135.1283	103134.7666	42861.6449	23097.0135	28438.3564	23783.1335	23852.9566	27897.567	27880.9955	22312.7491	19868.4524	33989.6707	26700.1334	30830.5828	18692.3178	24355.7097	25745.0314	21782.6649	21877.8925	25794.8785	40869.7774	34279.3183	46264.0777	35760.2808	27679.2035	19061.8263	28948.8324	27261.8224	35988.2005	34435.0833	37909.3775	21045.5638	39322.5371	20765.3352	44533.0349	23038.7605	37531.3141	33196.2887	35232.8968	21825.6028	20437.7943	22599.1986	33856.0065	23107.9459	21346.0648	20142.0081	23147.3244	22242.0511	19069.0539	13511.6823	36460.0739	26937.5134	31026.8846	20437.9941	21111.2369	16683.5538	29261.6248	35720.8415	34205.0114	40211.1449	17292.721	22422.9706	24570.9635	30489.7875	33598.5025
"PWY-6263"	2151.4959	1685.3607	2073.9643	2474.5323	2944.2275	3260.9574	3981.4916	7325.0428	1585.5715	1966.3805	2957.4345	3538.599	2102.3011	1293.7718	3656.1689	3835.9703	1628.1599	1661.3006	2490.6286	1484.0573	380.5783	1651.473	2728.4109	3104.8931	4290.2852	2749.552	2007.7677	2445.9736	4510.5753	3209.8291	3207.3479	2199.1095	2189.9979	4740.9445	3329.9717	1257.3851	1418.0201	564.5715	570.5467	2038.8289	703.5605	1026.4886	1358.5837	1228.9801	1661.0073	1806.5915	2293.2283	1191.9061	1283.3769	436.7346	939.7723	998.1735	648.8799	1467.3002	702.9571	272.203	1254.3953	1201.2418	1702.4347	1374.1344	422.9498	1198.3441	1155.602	1121.2832	3478.3704	702.9299	921.1223	1402.1083	2723.3823	5070.6322	1830.2304
"PWY-6269"	10930.5492	14411.0003	10781.0742	9645.8874	13745.0054	6742.2224	14341.6375	19158.8069	4346.3326	5779.8055	15589.9936	8009.0755	5684.6421	10483.31	6413.329	9913.6362	7201.2494	11588.3193	10137.1814	8390.2494	7711.8973	7666.399	5183.2898	4640.3765	9089.8018	5891.8748	9421.0164	5599.1132	11745.7789	13058.0997	8663.2435	6626.802	10755.8712	6245.6759	12484.7798	5597.9325	15120.8561	4495.9452	3240.6098	10859.3395	5591.7698	4303.0239	4662.395	3831.8273	5722.1428	9015.565	3123.6641	4313.7967	4803.4218	1762.4318	4480.2415	4979.2217	2501.5421	8051.7141	3053.7255	2814.8742	7376.8071	2756.725	4441.0335	4900.9523	1916.9877	4768.5851	5281.8933	1767.558	9501.0938	5330.6213	2580.085	4035.0189	6428.8824	8724.3664	5415.5335
"PWY-6277"	26084.5922	27926.1884	22827.7705	35508.5852	27696.1135	27170.4369	51554.0704	98869.6427	39901.9243	24324.6674	31418.9589	24040.9127	22887.7454	24563.3032	29349.0597	23580.489	18692.4999	29989.9917	27141.7378	30127.9807	18902.1207	23768.6277	25978.6274	22834.9933	24525.1618	26524.006	39671.2431	33786.1575	46922.5509	35809.746	27853.8681	18827.5594	24726.9682	28894.7994	35531.2187	33835.8856	36011.099	21772.3232	36434.3402	22668.9248	41263.1137	21111.9093	35213.8103	31049.6918	36424.0615	23898.0215	19502.1658	21003.6177	30051.3779	22275.0224	20815.1552	18695.0209	18350.0508	23334.2416	18853.3374	16565.7804	34639.9972	25834.4528	30266.3797	22593.102	19978.9961	20023.6826	27939.1258	33306.6821	34900.7505	37687.6388	16871.3123	20778.3538	24071.4992	35231.4507	32353.9814
"PWY-6282"	309.7867	41.9611	226.3627	123.3199	145.9356	305.869	493.5836	698.361	184.8213	230.1868	839.0269	1090.4248	146.9835	126.8073	96.9885	104.7149	217.7745	417.2146	284.1386	63.5155	327.6249	64.6875	112.4764	58.7001	76.6793	271.7757	111.3959	180.4634	147.2953	113.7734	128.0264	174.1928	216.318	69.4996	111.3792	561.641	47.9589	408.3988	124.5087	82.6167	213.7594	142.195	181.6008	95.7993	445.1709	728.9775	521.1896	218.1089	315.9659	33.5653	92.9066	141.529	410.7069	374.1907	14.9921	367.0552	85.0625	87.9956	57.5265	149.3421	152.2077	143.5214	121.152	285.4376	128.0937	135.2781	171.6362	176.6122	792.9501	304.4591	326.6155
"PWY-6317"	22066.7029	25497.0017	20276.5088	29422.8216	23697.1953	22292.9605	47604.1488	82558.1424	33218.8303	20902.8015	27982.8811	20210.7529	19520.3047	24215.6326	23116.7467	19141.6706	16943.7153	30217.0523	24549.745	26040.6698	16640.586	20832.6258	20862.9767	17913.4286	19481.1663	21073.1162	34007.3779	28054.1967	38029.1293	29772.988	23173.0948	16608.7869	22524.7732	26325.1845	30574.1263	26668.8985	31878.9345	17193.0806	29953.0839	18538.5403	34526.4176	20136.8049	29643.2964	25603.6966	31265.8501	19725.4341	16070.6458	18363.1798	28744.3195	18515.5104	16427.0125	16883.6206	20349.6822	20193.8842	15626.3814	12747.2368	30110.1175	20830.3098	24085.3995	17119.0571	16177.8152	13813.5306	23678.2096	27138.3518	28388.3974	31422.6571	13988.2484	17672.0939	18731.2539	32719.7437	27086.5875
"PWY-6353"	6447.1184	7942.1466	6606.2573	6693.9959	11423.5514	5475.5825	12672.7406	24484.6609	4248.4379	4742.4255	10776.9912	7413.167	4759.445	4212.6199	6878.2719	7722.4208	6597.0397	11327.8394	4841.652	4633.4334	5684.2222	7146.9342	3590.7052	4786.6815	6198.8336	6922.8368	10038.9592	5228.9766	8983.6549	8731.766	6229.0302	7395.3425	8591.2898	9815.8782	5799.0593	3203.9026	9539.2766	3637.7373	1896.9773	8823.7548	9278.6528	5189.4784	6108.2135	4769.5214	3467.1861	7781.32	4530.5525	4133.8164	4583.2563	1201.329	5548.8073	5625.5301	4829.9929	6427.8407	1074.5528	1626.7533	8886.9026	1875.8696	5386.6585	3521.6266	2726.901	1050.1941	6018.9956	1069.8525	7013.9148	2863.0932	1493.5074	8857.3499	6403.6998	15891.2854	2253.9046
"PWY-6383"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9998	0	0	0	0	0	0	0	0	0	0	0	0	3.9992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-6385"	23233.8009	24765.4336	20578.2447	30724.7916	24087.8389	23420.621	48249.3397	86834.1458	35493.762	21466.3485	28327.8163	21626.3276	20459.748	23534.9465	25160.4843	21245.2553	17807.7276	30160.9931	25394.6971	25957.6635	16802.0971	21261.1896	22555.0924	19523.2852	21279.9532	22915.4279	34695.62	29397.5783	40720.6456	30985.8362	24233.0578	16972.9142	22538.266	27057.0218	31195.2794	29125.7049	31292.9742	18760.8193	32048.4712	19386.5819	36359.5784	20396.8365	31275.3275	27305.5779	32335.1794	20970.3631	17524.6123	19122.6807	29366.953	19814.231	18275.8888	17829.2486	20301.4225	21137.4441	16174.2504	14094.8154	31142.7977	22508.4419	25972.7926	19164.9546	17368.3326	17033.2816	24503.3936	29268.2106	30379.6644	33323.2919	14805.1851	18908.3275	21311.3747	33154.0906	28591.6286
