Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Background_2,73412,12.75,0,255,936034,936034
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Background_3,73412,12.725,0,216,934167,934167
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Background_4,73412,13.707,0,255,1006261,1006261
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Contralateral,1533525,53.447,0,255,81961742,81961742
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Ipsilateral,1168749,46.283,0,255,54093774,54093774
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Background_1,41556,18.994,0,152,789297,789297
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Background_2,41556,18.41,0,194,765037,765037
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Background_3,41556,18.424,0,117,765619,765619
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Background_4,41556,18.549,0,229,770804,770804
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Contralateral,990290,47.306,0,255,46846507,46846507
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,TRUE,,Ipsilateral,837358,27.658,0,255,23159873,23159873
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Background_1,48304,29.253,0,158,1413044,1413044
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Background_2,48304,27.276,0,255,1317563,1317563
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Background_3,48304,29.116,0,192,1406424,1406424
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Background_4,48304,26.765,0,169,1292839,1292839
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Contralateral,1314198,93.677,0,255,123109892,123109892
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,TRUE,,Ipsilateral,833780,72.136,0,255,60145410,60145410
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Background_1,43012,18.007,0,205,774518,774518
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Background_2,43012,16.948,0,154,728955,728955
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Background_3,43012,18.806,0,125,808882,808882
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Background_4,43012,18.071,0,130,777285,777285
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Contralateral,873852,61.123,0,255,53412038,53412038
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,TRUE,,Ipsilateral,824104,32.89,0,255,27104421,27104421
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Background_1,58972,26.174,0,206,1543529,1543529
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Background_2,58972,29.519,0,149,1740798,1740798
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Background_3,58972,23.291,0,209,1373497,1373497
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Background_4,58972,35.377,0,231,2086227,2086227
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Contralateral,1407982,95.312,0,255,134197590,134197590
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,TRUE,,Ipsilateral,1207940,51.862,0,255,62645604,62645604
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Background_1,104860,9.775,0,255,1025031,1025031
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Background_2,104860,9.883,0,255,1036344,1036344
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Background_3,104860,10.801,0,255,1132563,1132563
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Background_4,104860,10.871,0,255,1139947,1139947
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Contralateral,1438748,34.559,0,255,49722184,49722184
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,TRUE,,Ipsilateral,1150158,24.149,0,255,27774771,27774771
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Background_1,65140,11.297,0,153,735903,735903
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Background_2,65140,8.414,0,109,548074,548074
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Background_3,65140,13.249,0,255,863017,863017
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Background_4,65140,13.179,0,255,858484,858484
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Contralateral,1403554,35.522,0,255,49857462,49857462
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,TRUE,,Ipsilateral,1552578,21.525,0,255,33419119,33419119
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Background_1,46160,25.489,0,182,1176581,1176581
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Background_1,9612,24.48,0,130,235298,235298
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Background_2,46160,22.467,0,178,1037089,1037089
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Background_2,13004,20.573,0,146,267527,267527
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Background_3,46160,20.731,0,168,956955,956955
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Background_3,11272,21.683,0,104,244415,244415
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Background_4,46160,19.813,0,202,914547,914547
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Background_4,13004,22.2,0,124,288684,288684
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Contralateral,1382314,71.252,0,255,98492340,98492340
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Contralateral,1370280,71.79,0,255,98372095,98372095
