"","Cohort...1","MouseID","SLC_Genotype","ASO_Tg","Sex","Cohort...6","Trial_1_Tturn","Trial_1_Ttotal","Trial_1_Mode","Trial_1_Orientation","Trial_2_Tturn","Trial_2_Ttotal","Trial_2_Mode","Trial_2_Orientation","Trial_3_Tturn","Trial_3_Ttotal","Trial_3_Mode","Trial_3_Orientation","Trial_4_Tturn","Trial_4_Ttotal","Trial_4_Mode","Trial_4_Orientation","Trial_5_Tturn","Trial_5_Ttotal","Trial_5_Mode","Trial_5_Orientation","Weight","Average_Tturn","Fastest_Tturn","Average_Ttotal","Fastest_Ttotal","Best_Performance"
"11","One","536","HET","Positive","Male","One",10,15,"S","S",10,15,"F","S",10,15,"S","U",10,15,"S","U",10,15,"S","S",41.4,10,10,15,15,"S"
"12","One","540","WT","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",36.7,10,10,15,15,"S"
"13","One","336","MUT","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",32.1,10,10,15,15,"S"
"14","One","326","HET","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",24.9,10,10,15,15,"S"
"15","One","663","WT","Positive","Male","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",43.2,10,10,15,15,"S"
"16","One","582","HET","Positive","Male","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",47.4,10,10,15,15,"S"
"17","One","791","WT","Positive","Male","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",3.33,15,"S","T",35.8,8.666,3.33,15,15,"S"
"18","One","340","HET","Positive","Male","One",10,15,"F","S",10,15,"S","U",10,15,"F","U",10,15,"F","U",10,15,"S","U",45.4,10,10,15,15,"S"
"19","One","719","HET","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","U",10,15,"S","U",38.4,10,10,15,15,"S"
"20","Three","962","WT","Positive","Female","Three",10,15,"F","U",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"F","U",23.3,10,10,15,15,"S"
"21","Three","35","WT","Positive","Female","Three",1.03,5.28,"C","T",1.16,4.72,"C","T",1.29,4.38,"C","T",5.4,5.4,"C","S",3.65,6.19,"C","T",26.5,2.506,1.03,5.194,4.38,"C"
"22","Three","44","HET","Positive","Male","Three",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","U",34.9,10,10,15,15,"S"
"23","Three","41","WT","Positive","Male","Three",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",41.1,10,10,15,15,"S"
"24","Three","43","MUT","Positive","Male","Three",10,15,"S","S",10,15,"S","S",10,15,"F","U",10,15,"F","U",10,15,"F","U",45.5,10,10,15,15,"S"
"25","Two","668","WT","Positive","Female","Two",2.42,4.05,"C","T",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",23.9,8.484,2.42,12.81,4.05,"C"
"26","Two","663_835","MUT","Positive","Female","Two",2.31,5.82,"C","T",10,15,"S","S",8,8.36,"C","T",2,5.89,"C","T",10,15,"S","S",24.6,6.462,2,10.014,5.82,"C"
"27","Two","662","MUT","Positive","Female","Two",7.34,7.34,"C","S",10,15,"S","S",10.55,10.55,"C","S",9.95,9.95,"C","S",10,15,"S","S",25.3,9.568,7.34,11.568,7.34,"C"
"28","Two","606","HET","Positive","Female","Two",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",25.7,10,10,15,15,"S"
"29","Two","612","MUT","Positive","Female","Two",2.15,3.98,"C","T",3.43,3.43,"C","T",10,15,"S","S",1.89,3.96,"C","T",10,15,"S","S",27.1,5.494,1.89,8.274,3.43,"C"
"30","Two","670_842","HET","Positive","Female","Two",10,15,"S","S",10,15,"S","S",3,5.35,"C","T",10,15,"S","S",10,15,"S","S",28.2,8.6,3,13.07,5.35,"C"
"31","Two","664","WT","Positive","Female","Two",5.99,5.99,"C","S",10,15,"S","S",5.14,5.14,"C","S",10,15,"S","S",10,15,"S","S",31.4,8.226,5.14,11.226,5.14,"C"
"32","Two","610","MUT","Positive","Female","Two",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",35.1,10,10,15,15,"S"
"33","Two","853","MUT","Positive","Male","Two",7.04,7.04,"C","S",5.04,5.04,"C","S",10,15,"S","S",6.78,6.78,"C","S",6.71,6.71,"C","S",35.4,7.114,5.04,8.114,5.04,"C"
"34","Two","666","WT","Positive","Male","Two",2.03,5.94,"C","T",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",35.5,8.406,2.03,13.188,5.94,"C"
"35","Two","856","HET","Positive","Male","Two",10,15,"F","U",10,15,"F","U",10,15,"F","U",10,15,"F","U",10,15,"F","U",53.5,10,10,15,15,"S"
