Batch,MouseID,Day,No_Move_Object ,Move_Object ,Genotype,Sex,Treatment,Percent_Investigation_Time,Discrimination_Index,Day_Treatment
Three,116.00,Testing,4.4,15.1,HET,Male ,Saline,77.43589744,54.87179487,TestingSaline
Three,177.00,Training,32.4,19.9,MUT,Female,MPTP,38.04971319,-23.90057361,TrainingMPTP
Three,177.00,Testing,25.6,25.9,MUT,Female,MPTP,50.29126214,0.5825242718,TestingMPTP
Three,167.00,Training,29.9,13,MUT,Male ,MPTP,30.3030303,-39.39393939,TrainingMPTP
Three,174.00,Training,17.4,25.8,MUT,Male ,MPTP,59.72222222,19.44444444,TrainingMPTP
Three,117.00,Training,60.4,14.4,MUT,Male ,MPTP,19.2513369,-61.4973262,TrainingMPTP
Three,167.00,Testing,20.6,13.6,MUT,Male ,MPTP,39.76608187,-20.46783626,TestingMPTP
Three,174.00,Testing,12.3,18.8,MUT,Male ,MPTP,60.45016077,20.90032154,TestingMPTP
Three,117.00,Testing,22,25,MUT,Male ,MPTP,53.19148936,6.382978723,TestingMPTP
Three,119.00,Training,15.3,25.9,WT,Female,MPTP,62.86407767,25.72815534,TrainingMPTP
Three,178.00,Training,15.3,23,WT,Female,MPTP,60.05221932,20.10443864,TrainingMPTP
Three,119.00,Testing,26.3,26.9,WT,Female,MPTP,50.56390977,1.127819549,TestingMPTP
Three,178.00,Testing,11.5,26.3,WT,Female,MPTP,69.57671958,39.15343915,TestingMPTP
Three,121.00,Training,18.7,5.8,WT,Male ,MPTP,23.67346939,-52.65306122,TrainingMPTP
Three,173.00,Training,19.5,15.6,WT,Male ,MPTP,44.44444444,-11.11111111,TrainingMPTP
Three,121.00,Testing,20.5,15.8,WT,Male ,MPTP,43.5261708,-12.9476584,TestingMPTP
Three,173.00,Testing,12.7,19.7,WT,Male ,MPTP,60.80246914,21.60493827,TestingMPTP
Five,504.00,Training,8.3,18.3,MUT,Female,MPTP,68.79699248,37.59398496,TrainingMPTP
Five,531.00,Training,9.2,8.1,MUT,Female,MPTP,46.82080925,-6.358381503,TrainingMPTP
Five,491.00,Training,18,24,MUT,Female,MPTP,57.14285714,14.28571429,TrainingMPTP
Five,504.00,Testing,12.8,17.5,MUT,Female,MPTP,57.75577558,15.51155116,TestingMPTP
Five,531.00,Testing,23.4,12.8,MUT,Female,MPTP,35.35911602,-29.28176796,TestingMPTP
Five,491.00,Testing,9.4,16.2,MUT,Female,MPTP,63.28125,26.5625,TestingMPTP
Five,511.00,Training,21,15.4,MUT,Male ,Saline,42.30769231,-15.38461538,TrainingSaline
Five,513.00,Training,23,13.9,MUT,Male ,Saline,37.66937669,-24.66124661,TrainingSaline
Five,511.00,Testing,9.1,27.3,MUT,Male ,Saline,75,50,TestingSaline
