"","sample","x","y","SampleID","MouseID","Site","Genotype","Sex","Cohort","Subset","Omit"
"31","Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz",0.121031722480662,0.0572793013500474,"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz",841,"COL","MUT","Female","Two","Luminal_Colon","No"
"32","Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz",-0.0110102379214763,-0.196097370676181,"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz",853,"CEC","MUT","Male","Two","Luminal_Colon","No"
"33","Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz",0.0131519638361861,-0.168497753537502,"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz",853,"COL","MUT","Male","Two","Luminal_Colon","No"
"34","Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz",-0.192762701139658,0.0753167454204161,"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz",856,"COL","HET","Male","Two","Luminal_Colon","No"
"35","Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz",-0.0164181265994301,-0.157580866059989,"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz",882,"COL","MUT","Female","Two","Luminal_Colon","No"
"36","Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz",0.0692232484492347,0.022900500542443,"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz",891,"CEC","HET","Male","Three","Luminal_Colon","No"
"37","Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz",0.0918647191169229,-0.00781666993251843,"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz",891,"COL","HET","Male","Three","Luminal_Colon","No"
"38","Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz",0.105768910142035,-0.000437686098195261,"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz",899,"CEC","MUT","Male","Three","Luminal_Colon","No"
"39","Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz",0.15932896923912,-0.00324961484832904,"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz",899,"COL","MUT","Male","Three","Luminal_Colon","No"
"40","Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz",0.0394718974456924,0.115139222437965,"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz",923,"CEC","WT","Female","Three","Luminal_Colon","No"
"41","Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz",-0.111113282413377,0.048739416264261,"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz",924,"CEC","WT","Male","Three","Luminal_Colon","No"
"42","Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz",-0.118596808147105,0.154255305273039,"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz",962,"CEC","WT","Female","Three","Luminal_Colon","No"
"43","Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz",-0.0864567202170736,0.140368214453443,"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz",536,"CEC","HET","Male","One","Luminal_Colon","No"
"44","Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz",0.191917767679087,-0.0381356559983227,"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz",540,"CEC","WT","Female","One","Luminal_Colon","No"
"45","Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz",-0.142664608797192,0.116860746885514,"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz",544,"CEC","HET","Female","One","Luminal_Colon","No"
"46","Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz",0.026554494633536,-0.13533239182769,"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz",579,"COL","HET","Male","One","Luminal_Colon","No"
"47","Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz",0.077197732902201,-0.018843083253219,"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz",604,"COL","HET","Female","One","Luminal_Colon","No"
"48","Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz",-0.0585229864592236,0.12528420356707,"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz",661,"CEC","MUT","Male","One","Luminal_Colon","No"
"49","Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz",-0.00326180173076501,-0.0105939123731145,"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz",665,"COL","MUT","Female","One","Luminal_Colon","No"
"50","Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz",0.0954592737138828,-0.00144741686104181,"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz",667,"COL","MUT","Female","One","Luminal_Colon","No"
"51","Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz",0.178436298439222,0.0237652859981282,"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz",835,"CEC","MUT","Female","Two","Luminal_Colon","No"
"52","Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz",0.103001077448153,0.0718631579431728,"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz",835,"COL","MUT","Female","Two","Luminal_Colon","No"
"53","Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz",0.051140878384349,0.0438073917956395,"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz",838,"COL","WT","Female","Two","Luminal_Colon","No"
"54","Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz",0.165896001379645,-0.0433596008141596,"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz",840,"CEC","MUT","Female","Two","Luminal_Colon","No"
"55","Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz",0.200144430131487,-0.0458212532915623,"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz",840,"COL","MUT","Female","Two","Luminal_Colon","No"
"56","Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz",0.0596523707362151,-0.00393597479901162,"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz",842,"CEC","HET","Female","Two","Luminal_Colon","No"
"57","Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz",0.120003322232413,-0.00592038573319118,"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz",842,"COL","HET","Female","Two","Luminal_Colon","No"
"58","Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz",-0.100026072969308,0.0194534102826162,"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz",856,"CEC","HET","Male","Two","Luminal_Colon","No"
"59","Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz",-0.156191115426021,-0.142499875522173,"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz",858,"CEC","WT","Male","Two","Luminal_Colon","No"
"60","Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz",-0.134008077015858,-0.187759975610307,"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz",858,"COL","WT","Male","Two","Luminal_Colon","No"
"61","Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz",0.0294518830949724,0.197313803584222,"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz",872,"CEC","HET","Female","Two","Luminal_Colon","No"
"62","Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz",0.0608195846517745,0.151317339405181,"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz",872,"COL","HET","Female","Two","Luminal_Colon","No"
"63","Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz",-0.0716200741327568,-0.0208971250599027,"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz",882,"CEC","MUT","Female","Two","Luminal_Colon","No"
"64","Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz",0.0170106001162356,0.0605614931204797,"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz",923,"COL","WT","Female","Three","Luminal_Colon","No"
"65","Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz",-0.00879495027066001,0.0323478276121937,"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz",924,"COL","WT","Male","Three","Luminal_Colon","No"
