"","sample","x","y","MouseID","SampleID","Site","Genotype","Sex","Cohort","Subset","Omit","Average_Latency"
"16","Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz",-0.0822254909074377,0.0811376700607041,604,"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","One","Luminal_Colon","No",103.6666667
"17","Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz",0.126881820662662,-0.00579740060432678,661,"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz","COL","MUT","Male","One","Luminal_Colon","No",13.63333333
"18","Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz",-0.141578861611311,-0.0959939008791091,663,"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz","CEC","WT","Male","One","Luminal_Colon","No",20.66666667
"19","Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz",-0.265764485247352,-0.11667590208304,663,"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz","COL","WT","Male","One","Luminal_Colon","No",20.66666667
"20","Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz",0.0102883526650215,0.143627650149149,667,"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","One","Luminal_Colon","No",103.95
"21","Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz",0.0578497649572275,0.0752905103870741,716,"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","One","Luminal_Colon","No",126.5333333
"22","Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz",0.150417017777992,-0.0194108857445356,716,"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","One","Luminal_Colon","No",126.5333333
"23","Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz",-0.0310616312033394,0.0271558456466203,717,"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","One","Luminal_Colon","No",99.96666667
"24","Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz",-0.0457734795758266,0.011666775908881,717,"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","One","Luminal_Colon","No",99.96666667
"25","Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz",-0.00650571562160418,-0.123887004537869,719,"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","One","Luminal_Colon","No",88.36666667
"26","Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz",0.0458148122943742,-0.172196769854522,719,"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","One","Luminal_Colon","No",88.36666667
"27","Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz",-0.19010319475716,-0.0882966768353333,791,"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz","CEC","WT","Male","One","Luminal_Colon","No",33.8
"28","Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz",-0.151840800403481,-0.104800692232296,791,"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz","COL","WT","Male","One","Luminal_Colon","No",33.8
"29","Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz",0.00776330432334637,0.0290436790260067,838,"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz","CEC","WT","Female","Two","Luminal_Colon","No",83.56666667
"30","Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz",0.0893351683521728,0.0408800911134977,841,"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","Two","Luminal_Colon","No",184.9333333
"31","Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz",0.121031722480662,0.0572793013500474,841,"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","Two","Luminal_Colon","No",184.9333333
"32","Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz",-0.0110102379214763,-0.196097370676181,853,"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Male","Two","Luminal_Colon","No",58.03333333
"33","Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz",0.0131519638361861,-0.168497753537502,853,"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz","COL","MUT","Male","Two","Luminal_Colon","No",58.03333333
"34","Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz",-0.192762701139658,0.0753167454204161,856,"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","Two","Luminal_Colon","No",31.33333333
"35","Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz",-0.0164181265994301,-0.157580866059989,882,"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","Two","Luminal_Colon","No",113.5666667
"36","Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz",0.0692232484492347,0.022900500542443,891,"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","Three","Luminal_Colon","No",74.66666667
"37","Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz",0.0918647191169229,-0.00781666993251843,891,"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","Three","Luminal_Colon","No",74.66666667
"38","Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz",0.105768910142035,-0.000437686098195261,899,"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Male","Three","Luminal_Colon","No",31.2
"39","Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz",0.15932896923912,-0.00324961484832904,899,"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz","COL","MUT","Male","Three","Luminal_Colon","No",31.2
"40","Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz",0.0394718974456924,0.115139222437965,923,"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz","CEC","WT","Female","Three","Luminal_Colon","No",57.7
"41","Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz",-0.111113282413377,0.048739416264261,924,"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz","CEC","WT","Male","Three","Luminal_Colon","No",56.16666667
"42","Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz",-0.118596808147105,0.154255305273039,962,"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz","CEC","WT","Female","Three","Luminal_Colon","No",66.16666667
"43","Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz",-0.0864567202170736,0.140368214453443,536,"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",41.2
"44","Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz",0.191917767679087,-0.0381356559983227,540,"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz","CEC","WT","Female","One","Luminal_Colon","No",37.83333333
"45","Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz",-0.142664608797192,0.116860746885514,544,"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","One","Luminal_Colon","No",1.4
"46","Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz",0.026554494633536,-0.13533239182769,579,"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","One","Luminal_Colon","No",18.66666667
"47","Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz",0.077197732902201,-0.018843083253219,604,"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","One","Luminal_Colon","No",103.6666667
"48","Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz",-0.0585229864592236,0.12528420356707,661,"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Male","One","Luminal_Colon","No",13.63333333
"49","Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz",-0.00326180173076501,-0.0105939123731145,665,"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","One","Luminal_Colon","No",75.96666667
"50","Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz",0.0954592737138828,-0.00144741686104181,667,"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","One","Luminal_Colon","No",103.95
"51","Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz",0.178436298439222,0.0237652859981282,835,"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","Two","Luminal_Colon","No",161
"52","Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz",0.103001077448153,0.0718631579431728,835,"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","Two","Luminal_Colon","No",161
"53","Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz",0.051140878384349,0.0438073917956395,838,"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz","COL","WT","Female","Two","Luminal_Colon","No",83.56666667
"54","Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz",0.165896001379645,-0.0433596008141596,840,"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","Two","Luminal_Colon","No",82.33333333
"55","Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz",0.200144430131487,-0.0458212532915623,840,"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","Two","Luminal_Colon","No",82.33333333
"56","Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz",0.0596523707362151,-0.00393597479901162,842,"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","Two","Luminal_Colon","No",92.8
"57","Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz",0.120003322232413,-0.00592038573319118,842,"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","Two","Luminal_Colon","No",92.8
"58","Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz",-0.100026072969308,0.0194534102826162,856,"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","Two","Luminal_Colon","No",31.33333333
"59","Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz",-0.156191115426021,-0.142499875522173,858,"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz","CEC","WT","Male","Two","Luminal_Colon","No",95.6
"60","Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz",-0.134008077015858,-0.187759975610307,858,"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz","COL","WT","Male","Two","Luminal_Colon","No",95.6
"61","Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz",0.0294518830949724,0.197313803584222,872,"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","Two","Luminal_Colon","No",132.3333333
"62","Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz",0.0608195846517745,0.151317339405181,872,"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","Two","Luminal_Colon","No",132.3333333
"63","Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz",-0.0716200741327568,-0.0208971250599027,882,"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","Two","Luminal_Colon","No",113.5666667
"64","Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz",0.0170106001162356,0.0605614931204797,923,"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz","COL","WT","Female","Three","Luminal_Colon","No",57.7
"65","Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz",-0.00879495027066001,0.0323478276121937,924,"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz","COL","WT","Male","Three","Luminal_Colon","No",56.16666667
