"","reads.in","reads.out"
"Rep1-Julianne-840-JEJ_S177_L001_R1_001.fastq.gz",39955,23398
"Rep1-Julianne-841-JEJ_S104_L001_R1_001.fastq.gz",39820,23241
"Rep1-Julianne-842-CEC_S117_L001_R1_001.fastq.gz",28447,16462
"Rep1-Julianne-842-COL_S133_L001_R1_001.fastq.gz",26640,15338
"Rep1-Julianne-847-JEJ_S112_L001_R1_001.fastq.gz",35686,20914
"Rep1-Julianne-853-JEJ_S120_L001_R1_001.fastq.gz",37719,21844
"Rep1-Julianne-856-CEC_S172_L001_R1_001.fastq.gz",17673,10222
"Rep1-Julianne-858-CEC_S171_L001_R1_001.fastq.gz",29849,17251
"Rep1-Julianne-858-COL_S149_L001_R1_001.fastq.gz",24228,14009
"Rep1-Julianne-858-JEJ_S164_L001_R1_001.fastq.gz",42385,24354
"Rep1-Julianne-872-CEC_S125_L001_R1_001.fastq.gz",32356,18796
"Rep1-Julianne-872-COL_S157_L001_R1_001.fastq.gz",25439,14603
"Rep1-Julianne-872-JEJ_S101_L001_R1_001.fastq.gz",59566,34347
"Rep1-Julianne-882-CEC_S165_L001_R1_001.fastq.gz",30747,18027
"Rep1-Julianne-923-COL_S135_L001_R1_001.fastq.gz",31515,18242
"Rep1-Julianne-924-COL_S143_L001_R1_001.fastq.gz",33928,19470
