feature	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia
PFF_Jejunum_1906	-10.6994733040997	-14.9654536291595	-14.598605039617	-14.2574762404158	-13.8537481460054	-6.52497557286753	-10.6588313196023	-14.8287563210446	-14.8444442407928	-14.6122061888006	-10.1563309790731	-11.3693247024073	-8.9461132716828	-10.1849001312699	-4.81892770367653	-6.84007163427247	-0.237906157652921	-4.25842622001384	-9.06057199626771	-13.8342735152347	-4.82313177185076	-12.6588313196023	-10.6588313196023	-12.1814792280704	-12.0886442327436	-12.021401398987	-11.8287563210446	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-11.9218657254361	-11.3051943649876	-12.1283166029035	-14.8791045691476
PFF_Jejunum_1908	-14.8357214757075	-8.54676369215214	-11.6220518194564	-9.4752104311271	-13.8537481460054	-4.01208162383406	-9.00314198681188	-11.6220518194564	-13.8444442407928	-11.429406741514	-4.76762864374199	-7.33137465855345	-8.57142574638641	-12.7457066406296	-4.33995626039807	-3.805068196201	-0.427558768108198	-6.87481788983634	-9.78555055173926	-13.8342735152347	-14.1342979608596	-13.6588313196023	-7.94559096424972	-11.1814792280704	-8.95367331054758	-9.75698139954248	-13.7830493819289	-10.7289670233729	-9.84444424079282	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-11.2594817400717	-14.4897539012813	-11.0370893187352	-14.1265431607123	-9.87481788983634
PFF_Jejunum_1910	-14.8357214757075	-14.9654536291595	-13.5712391094009	-11.455761891981	-13.8537481460054	-2.12209046402547	-5.69063520531266	-15.8287563210446	-14.8444442407928	-14.6122061888006	-5.9370330896599	-10.632639654065	-7.43510242141488	-12.7457066406296	-2.38409326806995	-1.62202033554384	-2.38450582027204	-7.80747345589098	-13.7362811177654	-12.8342735152347	-14.1342979608596	-11.0687387688717	-7.13383379709361	-12.1814792280704	-7.52684499004245	-13.4397984255745	-13.7830493819289	-10.4013141079586	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-9.42828115555886	-14.1265431607123	-14.8791045691476
PFF_Jejunum_1913	-14.8357214757075	-5.8112667057727	-14.598605039617	-7.49440960043276	-13.8537481460054	-1.85245115880093	-7.74530344339434	-13.2291192206586	-14.8444442407928	-11.6441567199374	-3.76049517774058	-6.85407978931167	-8.19569621912114	-10.1847251013001	-8.67453036898096	-12.3542187667524	-0.821187629484151	-8.59976260057898	-9.07937210115391	-13.8342735152347	-14.1342979608596	-13.6588313196023	-8.94371700179635	-12.1814792280704	-5.84110193531346	-6.70948296781538	-13.7830493819289	-9.25183929715868	-12.0119260663068	-9.42176429860099	-8.7696876020213	-14.8537481460054	-12.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-12.0591942192163	-14.1265431607123	-11.9071911257712
PFF_Jejunum_1914	-13.8357214757075	-14.9654536291595	-13.4206839764287	-9.74825863445716	-12.8357214757075	-2.40474630311943	-7.71332484434777	-15.8287563210446	-14.8444442407928	-14.6122061888006	-6.33057155676437	-6.99023142476313	-8.97774048057993	-12.7457066406296	-5.24201912542219	-4.30499002423165	-0.518450198708936	-10.0283665536499	-11.5137933808201	-13.8342735152347	-14.1342979608596	-13.6588313196023	-13.6122061888006	-12.1814792280704	-10.1727564629851	-10.4664876660418	-13.7830493819289	-10.8971220203716	-12.0119260663068	-13.7834757530925	-12.0987558815413	-12.6133290543711	-13.421764298601	-13.5415806599912	-14.4897539012813	-11.3332211351783	-10.5627029813011	-14.1265431607123	-8.53804092706682
PFF_Jejunum_1917	-14.8357214757075	-14.9654536291595	-10.9413227635379	-8.17313843876101	-11.7713977620956	-1.50149187955654	-7.26184266403249	-15.8287563210446	-14.8444442407928	-14.6122061888006	-3.63982656855539	-8.32661291942273	-7.95263807676577	-12.7457066406296	-3.92381836242852	-2.39901634095534	-2.11437711312245	-8.79157564403325	-13.7362811177654	-8.60147276065331	-12.9413227635379	-10.7713977620956	-4.57937898980269	-12.1814792280704	-7.05257951463968	-10.8538599222876	-10.6193946686506	-10.3563602628168	-12.0119260663068	-10.9413227635379	-10.0833417684104	-12.1339678414803	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-9.13396784148033	-14.1265431607123	-8.98712645315106
PFF_Jejunum_1920	-14.8357214757075	-14.9654536291595	-14.598605039617	-11.7457066406296	-13.8537481460054	-3.09272381515596	-9.17935981807578	-15.8287563210446	-14.8444442407928	-14.6122061888006	-7.87629075043973	-6.64524645885037	-6.57886761906101	-11.7457066406296	-2.04807073586081	-0.985882459139716	-3.26872682078144	-11.9867147401334	-13.7362811177654	-13.8342735152347	-14.1342979608596	-10.3168633418257	-9.56350330940884	-12.1814792280704	-12.0886442327436	-10.9867147401334	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-13.5596426384007	-14.1265431607123	-8.67796203399375
PFF_Jejunum_1921	-13.167825806394	-14.9654536291595	-14.598605039617	-14.2574762404158	-13.8537481460054	-4.37536084641403	-9.90479140056018	-15.8287563210446	-13.4897539012813	-14.6122061888006	-10.5828633056728	-13.7362811177654	-13.6644102463071	-12.7457066406296	-1.16585471888404	-1.48167549041308	-2.94093199282258	-7.0593013496158	-9.16782580639397	-13.8342735152347	-8.35020254888254	-13.6588313196023	-13.6122061888006	-12.1814792280704	-12.0886442327436	-10.402291060031	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-13.4897539012813	-13.4897539012813	-13.5596426384007	-9.01402047031493	-10.319828899839
PFF_Jejunum_1937	-14.8357214757075	-14.9654536291595	-14.598605039617	-9.60582063256179	-12.8537481460054	-2.11038633913951	-6.83415741764749	-15.8287563210446	-14.8444442407928	-14.6122061888006	-11.6058206325618	-8.82032514446792	-10.2687856452842	-12.7457066406296	-13.4286800381747	-12.3542187667524	-0.832421113381001	-13.1460458324772	-13.7362811177654	-12.531820051118	-14.1342979608596	-13.6588313196023	-13.6122061888006	-12.1814792280704	-12.0886442327436	-10.766285304755	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-12.3943165273681	-13.8537481460054	-13.421764298601	-13.5415806599912	-13.2687856452842	-14.4897539012813	-9.33018618994836	-14.1265431607123	-2.39099028034501
PFF_Jejunum_1938	-14.8357214757075	-6.28379854710146	-14.598605039617	-10.6488711336893	-13.8537481460054	-0.531413552141162	-6.04048428745685	-15.8287563210446	-14.8444442407928	-14.6122061888006	-12.6058206325618	-2.67712231616265	-13.6644102463071	-12.7457066406296	-7.91706724463891	-12.3542187667524	-3.31699448502759	-9.84151621163173	-13.7362811177654	-13.8342735152347	-13.1342979608596	-13.6588313196023	-11.4562260557469	-12.1814792280704	-10.1342979608596	-13.4397984255745	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-7.33210474391776	-14.1265431607123	-6.6456544210058
PFF_Jejunum_1942	-14.8357214757075	-13.9654536291595	-12.3804911284383	-7.12415137517855	-13.8537481460054	-2.03041138824205	-9.57313620638073	-15.8287563210446	-14.8444442407928	-12.9654536291595	-3.45106831947746	-9.74306120782304	-13.6644102463071	-12.7457066406296	-6.05057024279744	-6.9805605215497	-0.703358783789314	-7.52251013331076	-8.70492607893627	-11.0909845112434	-8.5060220105222	-13.6588313196023	-10.058563033551	-12.1814792280704	-12.0886442327436	-11.6435255342721	-13.7830493819289	-12.0909845112434	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-9.66777308051881	-10.1928641252626	-9.82249567531745	-10.1241513751786
PFF_Jejunum_1943	-14.8357214757075	-14.9654536291595	-12.4420178249706	-6.75351772014104	-13.8537481460054	-1.21792999143414	-9.24937274702821	-13.6644102463071	-14.8444442407928	-14.6122061888006	-2.6842706686679	-9.7258107909712	-12.6644102463071	-12.7457066406296	-13.4286800381747	-12.3542187667524	-1.41865949007634	-10.0794477455859	-11.2493727470282	-13.8342735152347	-14.1342979608596	-12.0794477455859	-9.39139175190064	-12.1814792280704	-6.97790971912384	-6.97790971912384	-13.7830493819289	-8.67951713869727	-12.0119260663068	-10.6055165572535	-13.3943165273681	-14.8537481460054	-10.3913917519006	-13.5415806599912	-14.4897539012813	-14.4897539012813	-13.5596426384007	-14.1265431607123	-7.58403682984304
PFF_Jejunum_1944	-14.8357214757075	-14.9654536291595	-14.598605039617	-8.39388892031833	-13.8537481460054	-2.56581949922898	-11.9250683868013	-15.8287563210446	-14.8444442407928	-14.6122061888006	-5.1882849433982	-12.7362811177654	-13.6644102463071	-12.7457066406296	-11.6367454442145	-12.3542187667524	-0.367034323071713	-6.34151221599255	-12.7362811177654	-13.8342735152347	-14.1342979608596	-13.6588313196023	-13.6122061888006	-12.1814792280704	-12.0886442327436	-10.7887485376595	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-13.5596426384007	-14.1265431607123	-6.40152898252046
PFF_Jejunum_1945	-14.8357214757075	-9.3506775261734	-13.598605039617	-8.40878048073697	-13.8537481460054	-0.929443151827712	-5.18815368811299	-15.8287563210446	-14.8444442407928	-14.6122061888006	-3.77683105764642	-6.24325394319217	-13.6644102463071	-12.7457066406296	-12.4286800381747	-12.3542187667524	-1.62141457170791	-9.89816532147589	-13.7362811177654	-9.4488579201123	-14.1342979608596	-13.6588313196023	-7.88435952195086	-9.57623722658853	-5.95836010339464	-9.38915167398804	-13.7830493819289	-10.8437175374535	-9.51114219836665	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-9.29482429143988	-14.1265431607123	-8.64440872923011
PFF_Jejunum_1946	-11.0829806138254	-8.0980875062156	-14.598605039617	-11.6679431145465	-13.8537481460054	-1.80453115560491	-6.59112751749571	-8.60185392408877	-10.2085114959092	-9.17609001821687	-5.73720577698366	-5.45848974891759	-6.64557530151809	-12.7457066406296	-4.84936093706569	-4.97445615704722	-1.16772364970262	-5.5804802732962	-6.76707630656579	-8.80996211941897	-8.71374680415967	-13.6588313196023	-5.40350051431994	-10.0829806138254	-6.88658340102188	-5.12684649919702	-7.7731253512386	-8.80996211941897	-7.1522432762625	-8.53866009760158	-10.761052518938	-14.8537481460054	-10.761052518938	-11.0829806138254	-9.34601501965918	-14.4897539012813	-7.59112751749571	-8.02408692477182	-7.45848974891759
PFF_Jejunum_21	-14.8357214757075	-14.9654536291595	-12.5152070304088	-9.07780171810145	-12.5152070304088	-1.71511604278376	-6.01270668987957	-15.8287563210446	-14.8444442407928	-14.6122061888006	-3.71430713048845	-13.7362811177654	-13.6644102463071	-10.2928146090723	-9.74261752651182	-11.0127066898796	-0.85268699636899	-8.3057536647798	-13.7362811177654	-10.0557754117715	-14.1342979608596	-13.6588313196023	-6.3057536647798	-12.1814792280704	-6.64484231082535	-10.4563133413552	-13.7830493819289	-10.2421885360023	-12.0119260663068	-13.7834757530925	-13.3943165273681	-12.1001695311299	-13.421764298601	-13.5415806599912	-12.7782414362425	-14.4897539012813	-5.91777517772538	-12.5152070304088	-14.8791045691476
