	observed_features
Julianne-853-CEC_S280_L001_R1_001_F_filt-fastq-gz	129
Julianne-853-COL_S284_L001_R1_001_F_filt-fastq-gz	122
Julianne-856-COL_S254_L001_R1_001_F_filt-fastq-gz	113
Julianne-856-JEJ_S200_L001_R1_001_F_filt-fastq-gz	56
Julianne-882-COL_S253_L001_R1_001_F_filt-fastq-gz	115
Julianne-882-JEJ_S199_L001_R1_001_F_filt-fastq-gz	28
Julianne-891-CEC_S220_L001_R1_001_F_filt-fastq-gz	129
Julianne-891-COL_S247_L001_R1_001_F_filt-fastq-gz	117
Julianne-891-JEJ_S193_L001_R1_001_F_filt-fastq-gz	56
Julianne-899-CEC_S221_L001_R1_001_F_filt-fastq-gz	141
Julianne-899-COL_S248_L001_R1_001_F_filt-fastq-gz	110
Julianne-899-JEJ_S194_L001_R1_001_F_filt-fastq-gz	28
Julianne-923-CEC_S223_L001_R1_001_F_filt-fastq-gz	145
Julianne-923-JEJ_S196_L001_R1_001_F_filt-fastq-gz	52
Julianne-924-CEC_S224_L001_R1_001_F_filt-fastq-gz	152
Julianne-924-JEJ_S197_L001_R1_001_F_filt-fastq-gz	50
Julianne-962-CEC_S222_L001_R1_001_F_filt-fastq-gz	189
Julianne-962-JEJ_S195_L001_R1_001_F_filt-fastq-gz	16
Rep1-Julianne-337-JEJ_S134_L001_R1_001_F_filt-fastq-gz	100
Rep1-Julianne-351-JEJ_S150_L001_R1_001_F_filt-fastq-gz	82
Rep1-Julianne-536-CEC_S103_L001_R1_001_F_filt-fastq-gz	170
Rep1-Julianne-540-CEC_S119_L001_R1_001_F_filt-fastq-gz	90
Rep1-Julianne-540-JEJ_S118_L001_R1_001_F_filt-fastq-gz	53
Rep1-Julianne-544-CEC_S179_L001_R1_001_F_filt-fastq-gz	126
Rep1-Julianne-544-JEJ_S178_L001_R1_001_F_filt-fastq-gz	47
Rep1-Julianne-579-COL_S159_L001_R1_001_F_filt-fastq-gz	95
Rep1-Julianne-582-JEJ_S142_L001_R1_001_F_filt-fastq-gz	44
Rep1-Julianne-604-COL_S166_L001_R1_001_F_filt-fastq-gz	110
Rep1-Julianne-661-CEC_S111_L001_R1_001_F_filt-fastq-gz	136
Rep1-Julianne-663-JEJ_S126_L001_R1_001_F_filt-fastq-gz	125
Rep1-Julianne-665-COL_S180_L001_R1_001_F_filt-fastq-gz	170
Rep1-Julianne-667-COL_S173_L001_R1_001_F_filt-fastq-gz	87
Rep1-Julianne-716-JEJ_S110_L001_R1_001_F_filt-fastq-gz	55
Rep1-Julianne-717-JEJ_S102_L001_R1_001_F_filt-fastq-gz	52
Rep1-Julianne-835-CEC_S158_L001_R1_001_F_filt-fastq-gz	79
Rep1-Julianne-835-COL_S151_L001_R1_001_F_filt-fastq-gz	104
Rep1-Julianne-838-COL_S128_L001_R1_001_F_filt-fastq-gz	108
Rep1-Julianne-840-CEC_S109_L001_R1_001_F_filt-fastq-gz	95
Rep1-Julianne-840-COL_S141_L001_R1_001_F_filt-fastq-gz	99
Rep1-Julianne-840-JEJ_S177_L001_R1_001_F_filt-fastq-gz	58
Rep1-Julianne-841-JEJ_S104_L001_R1_001_F_filt-fastq-gz	93
Rep1-Julianne-842-CEC_S117_L001_R1_001_F_filt-fastq-gz	126
Rep1-Julianne-842-COL_S133_L001_R1_001_F_filt-fastq-gz	111
Rep1-Julianne-847-JEJ_S112_L001_R1_001_F_filt-fastq-gz	82
Rep1-Julianne-853-JEJ_S120_L001_R1_001_F_filt-fastq-gz	93
Rep1-Julianne-856-CEC_S172_L001_R1_001_F_filt-fastq-gz	97
Rep1-Julianne-858-CEC_S171_L001_R1_001_F_filt-fastq-gz	133
Rep1-Julianne-858-COL_S149_L001_R1_001_F_filt-fastq-gz	108
Rep1-Julianne-858-JEJ_S164_L001_R1_001_F_filt-fastq-gz	40
Rep1-Julianne-872-CEC_S125_L001_R1_001_F_filt-fastq-gz	86
Rep1-Julianne-872-COL_S157_L001_R1_001_F_filt-fastq-gz	96
Rep1-Julianne-872-JEJ_S101_L001_R1_001_F_filt-fastq-gz	13
Rep1-Julianne-882-CEC_S165_L001_R1_001_F_filt-fastq-gz	141
Rep1-Julianne-923-COL_S135_L001_R1_001_F_filt-fastq-gz	135
Rep1-Julianne-924-COL_S143_L001_R1_001_F_filt-fastq-gz	134
