"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"
"ARGSYNBSUB-PWY"	15397.7107676343	10000.9418691095	7141.97931598388	12739.3178619956	14530.6412432261	5992.29254513633	3768.40460839938	7578.61175880418	7536.92254514855	5409.80520647157	8569.25178196199	7537.82264083886	4925.6199325905	11755.5026513847	5421.87339489051	6836.64994517947	5623.65816828384	6746.23196048796	5762.73956262873	7547.32216057696	7666.36592249307	4783.83282630683	1597.96821072424	4285.20510036099	6871.56464174973	6199.16074448794	6888.33171371246	6812.81279912438	10491.3099835715	6899.12158941302	7900.20736705462	12573.3715155188	4457.81455536161	6322.69900759418
"ARO-PWY"	17030.9111415592	12054.8316020095	7828.86141566847	14763.0495429093	16087.7815592179	6465.60275384478	4469.62227206447	9089.64088071705	8891.43728132933	6295.22071402036	9852.29624982511	8484.81520711912	5314.52314541742	12814.8079894342	5855.0340699329	7467.62781815831	6377.11089299766	7736.60089377486	7417.206009595	8624.99698144148	9410.16497257358	5526.432359906	2729.01322967967	5042.7725838181	7681.32342984935	6950.87181418319	7608.38735737959	7452.63584615892	11552.016462159	7858.47755565681	8894.33548624033	14692.7536608014	5054.03401593253	6669.01071915922
"ASPASN-PWY"	18936.833875738	11440.5040151991	8621.82084363281	13488.3177987155	18311.7839964589	8562.46617110998	4543.52896022855	10544.1837948596	10407.3654247127	8179.20757826286	10094.8088870171	7998.21202271617	5627.11470227738	12260.8022171985	6790.53412350538	9377.87633321772	6892.53106724245	8293.2354841164	8757.265502773	10827.6981331602	11698.3533569705	5846.65096975823	4810.27596559691	5564.31666780272	8741.1891211125	8226.93882743254	8315.67075526573	10133.4331972255	14123.1185372509	8816.42476721901	8821.76784015979	13435.9554050046	5277.10953356799	8084.37515088449
"AST-PWY"	0	0	0	0	4.44444444444444	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0	20.29	0	0	0	0	0
"BIOTIN-BIOSYNTHESIS-PWY"	573.035113816512	0	157.605136376796	174.730373384244	861.352752590915	133.801415898893	0	117.6871978232	414.7164670741	160.692778211405	234.417579218342	0	57.2566181830933	171.909176245888	145.120073178819	368.436546599125	0	90.863422737301	468.846698259069	266.401520685623	195.271272812245	89.307196490509	430.864594347545	217.474906710647	261.742944202784	258.614001452247	221.793261061208	415.040231214231	4902.91779466438	239.37477528082	428.427578806189	415.538180706842	394.105884540443	218.514216445512
"BRANCHED-CHAIN-AA-SYN-PWY"	19865.7656244117	12500.1788980073	9064.32724667335	14763.7391202739	18527.3525512281	7869.0732804147	4955.51259667227	10719.9721763782	11243.1997967536	7263.67401536536	10665.6784733727	9427.95484579385	5835.47876458875	12933.750098629	6505.480291553	8809.12455313383	6997.50737851376	8932.09074094179	7643.88126889718	10080.3575397113	9924.83025441987	5817.45213203284	2820.05040431733	5701.566890654	8859.35690898008	8368.37995274304	8975.4790106399	9155.37719221713	16252.1422060974	8755.58009861498	10038.3737251074	15449.3612713116	5403.07865549095	8509.34084823079
"CALVIN-PWY"	26609.0008748466	15346.0132084481	12188.4101513808	18830.3268552088	22762.1473821911	10388.4762158994	6522.75906931634	14031.1933728515	13341.9806707394	9836.13225480295	13412.7087315631	11655.1876693866	7231.63161183596	17191.2739823461	9501.14878254145	12094.2660716101	9649.07292454469	10910.5824561338	11044.3927520825	12988.8565911161	14642.4717761159	7736.54192044261	5594.89176616884	7142.94777843633	10884.4895601821	10330.2373840134	10806.7561781214	12940.0643034315	17378.4577226555	11719.4082547189	11984.3483538212	17788.0952725978	6987.91334856935	10123.6317779356
"CATECHOL-ORTHO-CLEAVAGE-PWY"	0	0	0	0	7.75	6.75	0	0	0	0	5.75	0	0	0	0	0	0	0	0	0	0	1	0.571428571428571	0	0	0	0	0	0	0	0	0	0	0
"CENTFERM-PWY"	62.5368063724616	5.24665490272866	0	24.4113135254641	492.681907425119	517.848438514842	0	0	0	0	296.48264002677	0	20.8653433818928	41.8086853377427	17.3790994872353	17.384919091357	0	20.8558680146186	6.98292103619887	0	41.4079412907026	126.737412228274	3.48173345723531	13.8467298478198	78.939911640499	0	0	0	62.12907258987	13.94617236286	0	10.4830825635269	0	0
"CHLOROPHYLL-SYN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COA-PWY"	19177.6660332363	11386.4140557163	8467.13845117916	13884.8434918202	17797.0172124193	8743.51644733054	4556.9827862469	10109.4911968819	10143.2842616675	7980.6378619461	10290.4531685503	8328.86453810691	5744.61289197388	13075.4485788219	8022.31195127074	9793.07441091565	6620.71487094566	7969.99799188639	8684.73122024488	11117.0817971779	11533.0621485975	5940.8027099591	6052.63500368716	5439.80908609715	8649.44178186596	7891.87821732881	8017.47155574501	10621.559904266	13076.5375360482	8793.91213513854	8743.2122136284	12860.5279767685	5392.88759604996	8021.69097506671
"COBALSYN-PWY"	9041.63901378213	8644.35272764571	4057.14474085578	8410.66373404776	8005.02508060538	2779.25080744345	2405.47658785369	4460.65934558163	3786.71088062723	2533.52048050619	4958.24910021177	5131.68886966809	3180.43211059656	8961.95470904742	2302.37678251206	3703.46272217124	2782.34300990942	3810.65324806907	2583.42490725137	3211.86554144601	4424.54814947001	2787.00017537309	548.645129756435	2155.57071056946	3756.6491858196	3403.99248382693	4074.17602425916	3123.99903009768	8043.93789170805	3369.13167020159	4828.95091178431	8081.50527609321	2063.15210612713	3373.85152940646
"CODH-PWY"	274.977702515715	40.9243434169771	73.6852265724876	87.7230570722726	566.869115065729	253.266502816134	36.8488882413196	228.383572122032	54.8497079614537	569.079849947054	101.972944527553	65.7355461009442	50.7685131620871	49.9017944124949	63.7438488708338	97.5212525198548	63.7157371679205	137.817154534557	169.328174330464	285.2814869956	226.773888429959	68.5971481371169	92.2638522427441	61.6281319531779	117.184339123721	123.053310396716	95.4409524190819	309.472957399076	692.944863302819	422.613097018812	74.6805251541714	374.593011804758	57.6772782391134	100.388474717707
"COLANSYN-PWY"	8714.38748577066	3304.54063528976	3729.61500843629	3858.06192015485	9011.94378563075	4191.98905283039	2110.37216600951	5375.00606947653	5679.88132900119	4441.80566969943	4374.06800865044	3171.98029277818	2154.09899326452	3156.08413693661	3139.9257482069	3985.56507165789	2543.43369138741	3896.77262321277	4345.35473292967	5465.22283317392	5463.14870617213	2356.39263861897	2371.74425255134	3166.92698954992	4062.17919437897	3645.56311506802	3576.95208056859	4956.17979539983	8991.32697486432	4779.93884958781	3564.47441527044	4980.53766076832	2415.85755024667	3689.74321200077
"COMPLETE-ARO-PWY"	17571.6615663842	12622.7466588644	8124.18441222581	15418.8707265681	16761.2092289896	6775.48306830016	4660.71919799662	9468.58353019699	9262.49903878711	6603.3008550272	10259.6577387784	8826.01301827036	5553.50083194645	13445.1039567736	6056.7931148481	7717.31481411696	6552.61035575115	8066.28969051646	7725.68535860764	8959.90486149741	9763.84446707496	5761.34601755987	2846.69831343733	5221.29137720742	7983.98631764686	7213.26012233749	7903.29810542859	7690.13541430309	12253.7494836857	8226.13291273024	9296.66475909128	15292.7071457789	5255.37752399931	6888.56049156208
"CRNFORCAT-PWY"	0	0	0	0	11.8836659462178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAPLYSINESYN-PWY"	18642.9477945791	9211.67534442951	8374.2351498643	14277.4310683352	15574.1618641044	6969.23917438031	4180.42221152177	8952.99886783073	8343.17805184889	6107.73446611998	9398.60164588239	8429.07378576465	5121.07515759521	12089.2312050691	6269.56156500511	8517.32050700007	6652.86524662174	7376.03108473836	6834.13233248295	8490.67007947697	9120.36082124895	5408.07006838222	3993.31548513904	4815.21704653604	7570.64770665124	7133.11129478991	7623.51300678215	8535.56484855211	9338.50802201346	7723.79118772342	8498.93399091429	12896.4187168	5075.1343883364	7385.01604292927
"DENITRIFICATION-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DENOVOPURINE2-PWY"	13830.7862056162	4015.63948288115	6568.71939609118	7622.02358213014	14023.8297620194	8165.9159192451	2519.33421060271	7064.40482424339	8092.11637557537	5628.05896513115	6564.52318826732	5384.77708135986	3919.61554782394	5979.65242996358	6612.21702745456	8310.68553707734	4119.85832679999	5459.07740026451	6074.73488036408	9996.43065759083	7891.46003338632	3961.48370143869	4821.36392779248	3889.74135749018	6713.33640786244	6703.16648726266	6387.01321820239	9306.23821413081	14707.4003329251	5202.26935891511	5383.87813163762	6496.37989972474	3611.94192946903	7439.59787936093
"DHGLUCONATE-PYR-CAT-PWY"	0	0	0	0	4.97685185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DTDPRHAMSYN-PWY"	17045.3818808919	11128.1644533074	8347.15459733305	13477.7134563648	16751.16907414	7676.5931614252	4370.10065919174	9892.2540186173	9191.75329926693	8187.63039786151	9646.69072458628	7819.68161444047	5070.88343058547	12156.9918656957	6973.91221498862	8634.46778680872	6870.28054910553	7554.95562472256	8138.66702885957	8916.33189145428	11516.6138019656	5484.91268166171	4626.94932558382	5493.04502975412	7721.50915839111	7062.23363154535	7390.0486591026	9817.21614244498	19666.7891379271	8536.36918499916	8678.02661545285	13161.2168289733	5370.45381922852	6558.05748450365
"ECASYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7497011052782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.2830493907987	0	0	0	0	0
"ENTBACSYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	37.4053819576122	0	0	0	0	0	0	0	0	2.66503418410397	0	0	0	0	0	106.225227292865	0	0	0	0	0
"FAO-PWY"	42.2406256166194	2.24981613273178	0	12.8267413307412	222.142483270847	263.313806071316	0	0	0	0	138.748842123625	0	8.99312978690003	17.9883251958768	10.57709091897	7.49542182634644	0	11.6371255163703	4.99800482745531	0	25.6765561992406	56.7121218060562	0.999826464731046	5.99636480657585	30.2387287441065	0	0	0	56.5039296716358	11.0515575783242	0	4.49922856902562	0	0
"FASYN-ELONG-PWY"	15671.8050395179	6845.28378413366	7774.19896412459	8118.19062152532	15957.2830906762	8827.17934457028	3514.03116247349	9634.39221504248	10225.1656067091	7220.03933902793	7983.05604669092	6123.88812259512	4499.55474220898	6534.57611253777	6807.36050479164	9213.12660477897	4796.27862048285	7259.61509078918	7237.99037571353	10620.571951898	9385.69170582804	4498.49281418728	5151.88671397405	4632.97216699525	7922.06096196613	7610.62562321601	7349.99807055524	10279.2414948724	15738.5820945413	7221.74188443933	7009.44891541336	9092.94205435408	3863.79867001693	8012.11559860836
"FASYN-INITIAL-PWY"	216.184721834615	0	58.0546243062405	66.3439351871266	332.061226416735	48.852572095877	0	42.6548968701271	155.022436224809	58.7536845422786	87.6124930386498	0	20.9586411036179	65.5599580423845	54.0425502042605	140.669579631051	0	32.9314863459323	182.471598127703	98.760774379137	71.5079138640166	32.9042521454126	175.231495344063	81.8095319081673	98.1676270589708	96.8860989742091	82.8214106297909	157.945323548188	2373.94306702277	88.7488080976655	165.91768640191	156.595567392609	162.103306707292	81.8121273394497
"FERMENTATION-PWY"	13287.7713978899	6417.67791127475	6212.44240107465	5992.92329426908	13212.4306013908	6604.55546323791	3091.19568201037	7427.79513117951	7708.46547654563	5707.97492728163	7088.75513105164	4800.9837669364	3394.34082620917	4842.83533474537	4861.28310628124	6887.46111394477	4288.47030810285	6113.85279790049	6306.54623988991	7847.77814447451	7995.19190694116	3812.88650719151	3123.0665571242	4084.04909219391	6418.81302073139	6348.70168825428	6114.84134365268	7432.18678402287	9457.63311961114	6649.60789723559	6132.89843090263	9499.18289364397	3640.77680582646	5912.26032240257
"FOLSYN-PWY"	11322.3583667724	7089.2590648216	4794.60762486629	5852.27970593161	11171.3433410452	5412.75664749428	3065.63642722387	7212.29143083264	6628.57934112807	3775.16475117855	6215.15820466963	4625.79329776216	2801.01066953693	4713.30379711155	3830.08193124476	3953.00980235058	3249.79463791669	4209.86506529381	4050.92904588955	5190.45837392356	5671.52759692115	3050.11632607809	2077.7026145693	3601.54148817553	4849.19235947713	4925.20366104009	5099.7328249895	5466.76168026722	13274.9995387139	4978.69714921416	4748.56062282792	8388.5153666509	3119.89287578623	4206.20877788419
"FUC-RHAMCAT-PWY"	2659.84775674667	664.614950195058	551.017766141062	978.895012510174	2014.93844227278	876.300046668011	521.369192307235	1549.01511602988	895.902102601875	459.467687886736	854.916968356114	847.956005815238	201.499026601089	205.88369309163	336.380810470319	507.015540234866	637.552320980879	553.568245300031	623.408284416777	624.144443717867	775.268064698965	455.741210733409	265.832343121342	391.996639666557	610.297714927808	783.44641470298	747.982603157409	704.535867493914	6793.07444616393	746.219335322381	638.187046165235	1767.27883941951	420.972001870032	696.47203736622
"FUCCAT-PWY"	3536.43878132117	374.296879685346	1395.01373524215	1619.99296728054	1631.31880678873	664.702656935831	454.898269084546	1700.99387110375	1959.24878623767	402.000074840293	948.601719490331	983.213756206893	274.092736210363	382.995759036893	1151.41412069203	1160.39510580675	1789.01565171081	800.330332660499	863.789818552012	923.986943933849	1038.68813437182	511.769386509097	179.11862166173	570.753135159511	741.748484609484	1192.16752341024	1243.63723446758	1400.11971857788	6239.89242412725	844.419333947543	796.51148047878	1847.70117190802	543.246735777994	1369.16000355444
"GALACT-GLUCUROCAT-PWY"	8032.82191332007	8840.8861738099	4768.23437415486	8388.20434481778	7431.08481219855	3446.34879781541	2484.54259462386	5440.01643558572	4879.56282483229	4123.5929415294	4654.25071832698	4747.69298120142	3449.29032852772	9626.07125458858	2869.246415366	4213.69812582276	3777.63339812242	3743.49210436955	3570.42166590707	3890.35834199383	5400.73371550477	2833.44712125062	1907.31122388156	2393.84808209508	4135.85991691577	3578.12962184348	3914.67950554973	4623.7546802319	7446.63272122356	4260.32885231194	4932.58655680816	7467.17674237774	1813.35993402705	4071.27322838054
"GALACTARDEG-PWY"	609.571598761338	0	122.491351082319	127.672362644774	33.05843870589	38.2829576883436	48.4692354135358	141.439966462161	101.630528878974	24.5879797607118	147.463426960033	82.8154125249782	0	11.7293906810036	82.5255752799557	54.2873227231865	94.4722162823956	0	72.0232398997497	101.893864016502	138.360614432836	79.3061392681104	11.9992743336623	0	0	98.6664628696299	82.2403075722027	139.155962923703	583.483198070208	54.6103386912653	119.201054521234	58.2262122527026	0	110.370225125757
"GALACTUROCAT-PWY"	11658.9941517291	9865.18264542215	6170.01163664021	10126.731924703	9974.29189327713	4346.06995081292	3196.87129596649	7696.27371135237	5981.89454691322	4383.69806282047	6216.52438989394	5816.28576692775	3887.1280279561	10503.2844552485	3821.93284237153	5609.61479267129	4706.12444209636	4939.92263563547	4665.65779441942	5226.21198659657	6382.88026669576	3713.39289739548	2168.84325558931	2967.53463734937	5236.42578165976	4856.30203446152	5083.51965058302	5729.41894286557	9126.0286013708	5343.99191888345	6465.5530689907	9510.56858350778	2530.90674910162	5521.75959921409
"GALLATE-DEGRADATION-I-PWY"	0	0	0	0	5.27058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GALLATE-DEGRADATION-II-PWY"	0	0	0	0	5.27058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY"	17861.3078006449	10343.5475987961	8305.29584408214	12370.7845205324	15853.9797964132	8728.62039760667	4073.80766517163	8339.53255304954	8797.006558218	5920.73490138622	8588.18738387492	7934.45353342143	5848.3726193711	13221.90800277	7034.0423868442	9372.54393566382	6620.57380104645	6836.1161553287	7267.83438580806	10520.8099640713	8823.09599066778	5274.56358575192	5222.94346398396	4011.49532243634	8275.33319305562	8114.00284941928	7957.42598866537	9712.67730082398	11314.9669399484	7159.0477534757	7577.08442329714	9805.60128806456	4353.55630301182	8705.59960055455
"GLUCARDEG-PWY"	758.567426690744	74.8709036452375	159.047706117678	373.463236050381	426.465285776175	97.4007324795568	57.5645420594844	165.173737379309	209.434517603308	143.458738596999	255.405374455775	299.968673230336	0	89.4306680161943	108.04383304345	179.443874107022	129.00556555467	115.363780002939	113.563276585662	130.358546643626	332.43785362242	99.4692883084044	13.3937318803573	0	156.533381029467	205.224731964134	171.639808101661	315.043419460321	583.483198070208	192.641718741935	142.142777861697	420.099571765192	0	120.056371905741
"GLUCARGALACTSUPER-PWY"	609.571598761338	0	122.491351082319	127.672362644774	33.05843870589	38.2829576883436	48.4692354135358	141.439966462161	101.630528878974	24.5879797607118	147.463426960033	82.8154125249782	0	11.7293906810036	82.5255752799557	54.2873227231865	94.4722162823956	0	72.0232398997497	101.893864016502	138.360614432836	79.3061392681104	11.9992743336623	0	0	98.6664628696299	82.2403075722027	139.155962923703	583.483198070208	54.6103386912653	119.201054521234	58.2262122527026	0	110.370225125757
"GLUCONEO-PWY"	20897.8199969808	10860.2256078774	9553.31359808352	12191.464519267	19581.0905721284	9514.83608975375	4863.36566877066	11491.7652756969	11115.9994457046	8623.35196582111	10889.158963613	8318.53064787821	5737.3589297527	10428.6899903179	8133.02884028604	10712.4005190546	7408.8596114694	9023.71690588399	9253.4568606839	11660.057158656	12506.5552800168	6221.81721207848	6007.36730045966	5794.33435492193	9384.41248115298	8825.37444175529	8915.00962777094	11736.5123083543	15378.3184327845	9761.6636848449	9539.25740948565	14064.3092259069	5406.72055320361	8860.43152137829
"GLUCOSE1PMETAB-PWY"	44.6160322605392	4.6590777951611	0	0	17.9918620323118	74.3656305259144	16.6330128190169	74.4302557140184	348.834477050364	5.33838315775149	5.99876008293668	0	0	11.9954360620822	539.613738473705	3.99929439822753	1.3398982290402	0	4.65890519442282	41.2707010364459	65.1768095939233	1.33986379407387	0	20.6288296919888	0	3.99912364589598	0	4.65914698950412	2971.23289839165	0	6.65781711129309	8.65752912508764	66.9586521774963	0
"GLUCUROCAT-PWY"	7727.33380493018	8890.25996892137	4640.22172601898	8672.12088942135	7231.05259202625	3371.56691065089	2394.09732560775	5036.10556175238	4776.26591514528	4293.9195188687	4550.32123789463	4785.15603215597	3487.30127166781	9895.95377677083	2804.03580004843	4043.36766857895	3715.1422169768	3589.17606288241	3509.05118204879	3777.43728993197	5516.46238613628	2792.09599972616	2120.4435426254	2402.64675214625	4019.57871253191	3383.95763894588	3789.82394668044	4553.59103931997	7187.33814278377	4193.72378206195	4805.84423361947	7413.04200315647	1772.32080878174	3888.45909491519
