#SampleID	MouseID	Site	Genotype	Sex	Cohort	Subset
Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz	717	CEC	MUT	Female	One	Luminal_Colon
Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz	717	COL	MUT	Female	One	Luminal_Colon
Julianne.835.JEJ_S198_L001_R1_001_F_filt.fastq.gz	835	JEJ	MUT	Female	Two	Jejunum
Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz	841	CEC	MUT	Female	Two	Luminal_Colon
Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz	841	COL	MUT	Female	Two	Luminal_Colon
Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz	853	CEC	MUT	Male	Two	Luminal_Colon
Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz	853	COL	MUT	Male	Two	Luminal_Colon
Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz	882	COL	MUT	Female	Two	Luminal_Colon
Julianne.882.JEJ_S199_L001_R1_001_F_filt.fastq.gz	882	JEJ	MUT	Female	Two	Jejunum
Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz	899	CEC	MUT	Male	Three	Luminal_Colon
Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz	899	COL	MUT	Male	Three	Luminal_Colon
Julianne.899.JEJ_S194_L001_R1_001_F_filt.fastq.gz	899	JEJ	MUT	Male	Three	Jejunum
Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz	661	CEC	MUT	Male	One	Luminal_Colon
Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz	665	COL	MUT	Female	One	Luminal_Colon
Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz	667	COL	MUT	Female	One	Luminal_Colon
Rep1.Julianne.717.JEJ_S102_L001_R1_001_F_filt.fastq.gz	717	JEJ	MUT	Female	One	Jejunum
Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz	835	CEC	MUT	Female	Two	Luminal_Colon
Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz	835	COL	MUT	Female	Two	Luminal_Colon
Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz	840	CEC	MUT	Female	Two	Luminal_Colon
Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz	840	COL	MUT	Female	Two	Luminal_Colon
Rep1.Julianne.840.JEJ_S177_L001_R1_001_F_filt.fastq.gz	840	JEJ	MUT	Female	Two	Jejunum
Rep1.Julianne.841.JEJ_S104_L001_R1_001_F_filt.fastq.gz	841	JEJ	MUT	Female	Two	Jejunum
Rep1.Julianne.853.JEJ_S120_L001_R1_001_F_filt.fastq.gz	853	JEJ	MUT	Male	Two	Jejunum
Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz	882	CEC	MUT	Female	Two	Luminal_Colon
Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz	540	COL	WT	Female	One	Luminal_Colon
Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz	663	CEC	WT	Male	One	Luminal_Colon
Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz	663	COL	WT	Male	One	Luminal_Colon
Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz	791	CEC	WT	Male	One	Luminal_Colon
Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz	791	COL	WT	Male	One	Luminal_Colon
Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz	838	CEC	WT	Female	Two	Luminal_Colon
Julianne.838.JEJ_S277_L001_R1_001_F_filt.fastq.gz	838	JEJ	WT	Female	Two	Jejunum
Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz	847	CEC	WT	Female	Two	Luminal_Colon
Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz	847	COL	WT	Female	Two	Luminal_Colon
Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz	923	CEC	WT	Female	Three	Luminal_Colon
Julianne.923.JEJ_S196_L001_R1_001_F_filt.fastq.gz	923	JEJ	WT	Female	Three	Jejunum
Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz	924	CEC	WT	Male	Three	Luminal_Colon
Julianne.924.JEJ_S197_L001_R1_001_F_filt.fastq.gz	924	JEJ	WT	Male	Three	Jejunum
Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz	962	CEC	WT	Female	Three	Luminal_Colon
Julianne.962.JEJ_S195_L001_R1_001_F_filt.fastq.gz	962	JEJ	WT	Female	Three	Jejunum
Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz	540	CEC	WT	Female	One	Luminal_Colon
Rep1.Julianne.540.JEJ_S118_L001_R1_001_F_filt.fastq.gz	540	JEJ	WT	Female	One	Jejunum
Rep1.Julianne.663.JEJ_S126_L001_R1_001_F_filt.fastq.gz	663	JEJ	WT	Male	One	Jejunum
Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz	838	COL	WT	Female	Two	Luminal_Colon
Rep1.Julianne.847.JEJ_S112_L001_R1_001_F_filt.fastq.gz	847	JEJ	WT	Female	Two	Jejunum
Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz	858	CEC	WT	Male	Two	Luminal_Colon
Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz	858	COL	WT	Male	Two	Luminal_Colon
Rep1.Julianne.858.JEJ_S164_L001_R1_001_F_filt.fastq.gz	858	JEJ	WT	Male	Two	Jejunum
Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz	923	COL	WT	Female	Three	Luminal_Colon
Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz	924	COL	WT	Male	Three	Luminal_Colon
